axis,validity,protocol_hash,metric_version,loss_name,deployment_weighting,audit_measure,partition_rule,estimand_scope,dependence_design,excluded_groups,message,standardization_target,ci_low,ci_high,lower_confidence_bound,certification_radius,weighted_sum_radius,total_variation_radius,certification_radius_method,parameter_upper_bound,partial_bwer_lower,partial_bwer_upper,beta,mean_risk,tail_risk,bwer,worst_group_risk,worst_group_gap,deployment_effective_groups,tail_effective_groups,max_tail_atom_share,boundary_risk,boundary_tie_groups,deployment_weights,selected_mass,conditional_tail_weights,cluster_count,critical_value
country,not_identified_zero_selective_coverage,41a6f29d43fe35c1f37fc4e1d1df229fd2e1acd3ec16a2344a117ab85ffd6376,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,AZE;BEN,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: AZE, BEN.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
class_label,descriptive_only,41a6f29d43fe35c1f37fc4e1d1df229fd2e1acd3ec16a2344a117ab85ffd6376,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,airport_hangar;shipyard,Groups below the pre-registered support threshold were excluded; inspect valid deployment mass.,uniform,0.0,0.8164824217344083,0.0,0.6130299414824261,0.6130299414824261,1.0854507185729727,weighted_tail_plus_mean,0.9,,,0.1,0.7965475197480177,1.0,0.20345248025198226,1.0,0.20345248025198226,60.000000000000014,6.0,0.16666666666666666,1.0,"['barn', 'burial_site', 'electric_substation', 'factory_or_powerplant', 'fire_station', 'hospital', 'park', 'prison', 'zoo']","{'barn': 0.016666666666666666, 'burial_site': 0.016666666666666666, 'electric_substation': 0.016666666666666666, 'factory_or_powerplant': 0.016666666666666666, 'fire_station': 0.016666666666666666, 'hospital': 0.016666666666666666, 'park': 0.016666666666666666, 'prison': 0.016666666666666666, 'zoo': 0.016666666666666666, 'ground_transportation_station': 0.016666666666666666, 'military_facility': 0.016666666666666666, 'police_station': 0.016666666666666666, 'recreational_facility': 0.016666666666666666, 'gas_station': 0.016666666666666666, 'parking_lot_or_garage': 0.016666666666666666, 'archaeological_site': 0.016666666666666666, 'race_track': 0.016666666666666666, 'railway_bridge': 0.016666666666666666, 'construction_site': 0.016666666666666666, 'airport_terminal': 0.016666666666666666, 'fountain': 0.016666666666666666, 'oil_or_gas_facility': 0.016666666666666666, 'crop_field': 0.016666666666666666, 'educational_institution': 0.016666666666666666, 'office_building': 0.016666666666666666, 'smokestack': 0.016666666666666666, 'waste_disposal': 0.016666666666666666, 'water_treatment_facility': 0.016666666666666666, 'shopping_mall': 0.016666666666666666, 'tower': 0.016666666666666666, 'place_of_worship': 0.016666666666666666, 'swimming_pool': 0.016666666666666666, 'border_checkpoint': 0.016666666666666666, 'lake_or_pond': 0.016666666666666666, 'solar_farm': 0.016666666666666666, 'golf_course': 0.016666666666666666, 'car_dealership': 0.016666666666666666, 'interchange': 0.016666666666666666, 'toll_booth': 0.016666666666666666, 'debris_or_rubble': 0.016666666666666666, 'nuclear_powerplant': 0.016666666666666666, 'storage_tank': 0.016666666666666666, 'dam': 0.016666666666666666, 'wind_farm': 0.016666666666666666, 'road_bridge': 0.016666666666666666, 'single-unit_residential': 0.016666666666666666, 'helipad': 0.016666666666666666, 'surface_mine': 0.016666666666666666, 'stadium': 0.016666666666666666, 'flooded_road': 0.016666666666666666, 'lighthouse': 0.016666666666666666, 'tunnel_opening': 0.016666666666666666, 'port': 0.016666666666666666, 'multi-unit_residential': 0.016666666666666666, 'space_facility': 0.016666666666666666, 'amusement_park': 0.016666666666666666, 'runway': 0.016666666666666666, 'aquaculture': 0.016666666666666666, 'impoverished_settlement': 0.016666666666666666, 'airport': 0.016666666666666666}","{'barn': 0.016666666666666666, 'burial_site': 0.016666666666666666, 'electric_substation': 0.016666666666666666, 'factory_or_powerplant': 0.016666666666666666, 'fire_station': 0.016666666666666666, 'hospital': 0.016666666666666666, 'park': 0.0, 'prison': 0.0, 'zoo': 0.0, 'ground_transportation_station': 0.0, 'military_facility': 0.0, 'police_station': 0.0, 'recreational_facility': 0.0, 'gas_station': 0.0, 'parking_lot_or_garage': 0.0, 'archaeological_site': 0.0, 'race_track': 0.0, 'railway_bridge': 0.0, 'construction_site': 0.0, 'airport_terminal': 0.0, 'fountain': 0.0, 'oil_or_gas_facility': 0.0, 'crop_field': 0.0, 'educational_institution': 0.0, 'office_building': 0.0, 'smokestack': 0.0, 'waste_disposal': 0.0, 'water_treatment_facility': 0.0, 'shopping_mall': 0.0, 'tower': 0.0, 'place_of_worship': 0.0, 'swimming_pool': 0.0, 'border_checkpoint': 0.0, 'lake_or_pond': 0.0, 'solar_farm': 0.0, 'golf_course': 0.0, 'car_dealership': 0.0, 'interchange': 0.0, 'toll_booth': 0.0, 'debris_or_rubble': 0.0, 'nuclear_powerplant': 0.0, 'storage_tank': 0.0, 'dam': 0.0, 'wind_farm': 0.0, 'road_bridge': 0.0, 'single-unit_residential': 0.0, 'helipad': 0.0, 'surface_mine': 0.0, 'stadium': 0.0, 'flooded_road': 0.0, 'lighthouse': 0.0, 'tunnel_opening': 0.0, 'port': 0.0, 'multi-unit_residential': 0.0, 'space_facility': 0.0, 'amusement_park': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'impoverished_settlement': 0.0, 'airport': 0.0}","{'barn': 0.16666666666666666, 'burial_site': 0.16666666666666666, 'electric_substation': 0.16666666666666666, 'factory_or_powerplant': 0.16666666666666666, 'fire_station': 0.16666666666666666, 'hospital': 0.16666666666666666, 'park': 0.0, 'prison': 0.0, 'zoo': 0.0, 'ground_transportation_station': 0.0, 'military_facility': 0.0, 'police_station': 0.0, 'recreational_facility': 0.0, 'gas_station': 0.0, 'parking_lot_or_garage': 0.0, 'archaeological_site': 0.0, 'race_track': 0.0, 'railway_bridge': 0.0, 'construction_site': 0.0, 'airport_terminal': 0.0, 'fountain': 0.0, 'oil_or_gas_facility': 0.0, 'crop_field': 0.0, 'educational_institution': 0.0, 'office_building': 0.0, 'smokestack': 0.0, 'waste_disposal': 0.0, 'water_treatment_facility': 0.0, 'shopping_mall': 0.0, 'tower': 0.0, 'place_of_worship': 0.0, 'swimming_pool': 0.0, 'border_checkpoint': 0.0, 'lake_or_pond': 0.0, 'solar_farm': 0.0, 'golf_course': 0.0, 'car_dealership': 0.0, 'interchange': 0.0, 'toll_booth': 0.0, 'debris_or_rubble': 0.0, 'nuclear_powerplant': 0.0, 'storage_tank': 0.0, 'dam': 0.0, 'wind_farm': 0.0, 'road_bridge': 0.0, 'single-unit_residential': 0.0, 'helipad': 0.0, 'surface_mine': 0.0, 'stadium': 0.0, 'flooded_road': 0.0, 'lighthouse': 0.0, 'tunnel_opening': 0.0, 'port': 0.0, 'multi-unit_residential': 0.0, 'space_facility': 0.0, 'amusement_park': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'impoverished_settlement': 0.0, 'airport': 0.0}",1117,2.6943012562182536
country_class,not_identified_zero_selective_coverage,41a6f29d43fe35c1f37fc4e1d1df229fd2e1acd3ec16a2344a117ab85ffd6376,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,ALB|educational_institution;ARE|race_track;ARG|educational_institution;ARG|factory_or_powerplant;ARG|ground_transportation_station;ARG|lighthouse;AUS|archaeological_site;AUS|burial_site;AUS|hospital;AUS|race_track;AUS|tower;AUT|airport_terminal;AUT|barn;AUT|railway_bridge;AUT|surface_mine;AZE|electric_substation;BEL|car_dealership;BEL|place_of_worship;BEL|recreational_facility;BEN|recreational_facility;BGD|hospital;BGD|prison;BGR|educational_institution;BGR|fire_station;BHR|water_treatment_facility;BLR|park;BLR|surface_mine;BOL|airport_terminal;BRA|aquaculture;BRA|military_facility;BRA|stadium;BRA|storage_tank;CAN|amusement_park;CAN|burial_site;CAN|crop_field;CHE|airport_terminal;CHE|military_facility;CHE|office_building;CHE|smokestack;CHL|construction_site;CHL|police_station;CHL|single-unit_residential;CHN|archaeological_site;CHN|recreational_facility;CMR|parking_lot_or_garage;COL|car_dealership;COL|ground_transportation_station;COL|oil_or_gas_facility;COL|prison;COL|recreational_facility;CRI|crop_field;CRI|fire_station;CUB|airport_hangar;CUB|lighthouse;CUB|storage_tank;DEU|helipad;DEU|office_building;DEU|parking_lot_or_garage;DEU|recreational_facility;DNK|helipad;DNK|smokestack;DOM|amusement_park;DOM|prison;DZA|dam;DZA|educational_institution;DZA|single-unit_residential;ECU|race_track;EGY|factory_or_powerplant;EGY|recreational_facility;ESP|burial_site;ESP|crop_field;ESP|office_building;ESP|tower;ETH|airport_terminal;ETH|ground_transportation_station;FIN|airport_hangar;FIN|road_bridge;FIN|zoo;FRA|crop_field;FRA|hospital;FRA|road_bridge;FRA|solar_farm;GBR|airport_terminal;GBR|burial_site;GBR|golf_course;GBR|single-unit_residential;GLP|airport_terminal;GLP|place_of_worship;GRC|office_building;GRC|surface_mine;GTM|barn;GTM|educational_institution;GTM|place_of_worship;HKG|military_facility;HKG|recreational_facility;HRV|lighthouse;HRV|solar_farm;HTI|burial_site;HTI|debris_or_rubble;HUN|helipad;HUN|water_treatment_facility;IDN|archaeological_site;IND|airport_hangar;IND|swimming_pool;IRL|airport_terminal;IRL|car_dealership;IRL|fountain;IRN|educational_institution;IRN|ground_transportation_station;IRN|place_of_worship;IRQ|military_facility;IRQ|multi-unit_residential;IRQ|road_bridge;ITA|zoo;JPN|airport_hangar;JPN|archaeological_site;JPN|electric_substation;KAZ|oil_or_gas_facility;KEN|office_building;KEN|place_of_worship;KO-|surface_mine;KOR|educational_institution;KOR|military_facility;KOR|smokestack;KOR|stadium;KWT|airport_terminal;KWT|smokestack;LBN|hospital;LBR|crop_field;LBY|place_of_worship;LTU|airport_hangar;LTU|multi-unit_residential;LTU|parking_lot_or_garage;LUX|educational_institution;LUX|shopping_mall;LVA|crop_field;LVA|ground_transportation_station;LVA|military_facility;LVA|parking_lot_or_garage;MEX|place_of_worship;MLT|crop_field;MLT|ground_transportation_station;MLT|surface_mine;MNG|airport_terminal;MTQ|crop_field;NLD|electric_substation;NLD|factory_or_powerplant;NLD|recreational_facility;NOR|fountain;NZL|waste_disposal;OMN|factory_or_powerplant;OMN|water_treatment_facility;PAN|crop_field;PAN|ground_transportation_station;PER|crop_field;PER|storage_tank;PER|toll_booth;PHL|parking_lot_or_garage;POL|parking_lot_or_garage;PRK|educational_institution;PRK|single-unit_residential;PRT|burial_site;PRT|military_facility;PRT|police_station;PRT|race_track;PRT|stadium;PRY|golf_course;QAT|airport_terminal;RUS|aquaculture;RUS|construction_site;RUS|helipad;RUS|lighthouse;RUS|park;RUS|solar_farm;RUS|water_treatment_facility;SAU|prison;SDN|police_station;SEN|crop_field;SGP|police_station;SLE|barn;SLV|fire_station;SLV|helipad;SRB|burial_site;SRB|surface_mine;SVK|ground_transportation_station;SVN|crop_field;SVN|park;SWE|factory_or_powerplant;SYR|hospital;THA|electric_substation;THA|place_of_worship;TUR|golf_course;TUR|road_bridge;TUR|water_treatment_facility;TUR|zoo;TWN|crop_field;TWN|storage_tank;TWN|waste_disposal;TWN|zoo;TZA|runway;TZA|stadium;TZA|surface_mine;UGA|parking_lot_or_garage;UKR|archaeological_site;UKR|burial_site;UKR|electric_substation;UKR|storage_tank;UKR|zoo;URY|tower;USA|archaeological_site;USA|educational_institution;USA|fountain;USA|police_station;VEN|airport_hangar;VNM|ground_transportation_station;VNM|toll_booth;ZAF|airport_hangar;ZAF|shopping_mall;ZAF|waste_disposal;ZMB|dam;ZWE|water_treatment_facility;ambiguous_country|border_checkpoint;ambiguous_country|construction_site;ambiguous_country|gas_station;ambiguous_country|ground_transportation_station;ambiguous_country|oil_or_gas_facility;ambiguous_country|park;ambiguous_country|single-unit_residential,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: ALB|educational_institution, ARE|race_track, ARG|educational_institution, ARG|factory_or_powerplant, ARG|ground_transportation_station, ARG|lighthouse, AUS|archaeological_site, AUS|burial_site, AUS|hospital, AUS|race_track, AUS|tower, AUT|airport_terminal, AUT|barn, AUT|railway_bridge, AUT|surface_mine, AZE|electric_substation, BEL|car_dealership, BEL|place_of_worship, BEL|recreational_facility, BEN|recreational_facility, BGD|hospital, BGD|prison, BGR|educational_institution, BGR|fire_station, BHR|water_treatment_facility, BLR|park, BLR|surface_mine, BOL|airport_terminal, BRA|aquaculture, BRA|military_facility, BRA|stadium, BRA|storage_tank, CAN|amusement_park, CAN|burial_site, CAN|crop_field, CHE|airport_terminal, CHE|military_facility, CHE|office_building, CHE|smokestack, CHL|construction_site, CHL|police_station, CHL|single-unit_residential, CHN|archaeological_site, CHN|recreational_facility, CMR|parking_lot_or_garage, COL|car_dealership, COL|ground_transportation_station, COL|oil_or_gas_facility, COL|prison, COL|recreational_facility, CRI|crop_field, CRI|fire_station, CUB|airport_hangar, CUB|lighthouse, CUB|storage_tank, DEU|helipad, DEU|office_building, DEU|parking_lot_or_garage, DEU|recreational_facility, DNK|helipad, DNK|smokestack, DOM|amusement_park, DOM|prison, DZA|dam, DZA|educational_institution, DZA|single-unit_residential, ECU|race_track, EGY|factory_or_powerplant, EGY|recreational_facility, ESP|burial_site, ESP|crop_field, ESP|office_building, ESP|tower, ETH|airport_terminal, ETH|ground_transportation_station, FIN|airport_hangar, FIN|road_bridge, FIN|zoo, FRA|crop_field, FRA|hospital, FRA|road_bridge, FRA|solar_farm, GBR|airport_terminal, GBR|burial_site, GBR|golf_course, GBR|single-unit_residential, GLP|airport_terminal, GLP|place_of_worship, GRC|office_building, GRC|surface_mine, GTM|barn, GTM|educational_institution, GTM|place_of_worship, HKG|military_facility, HKG|recreational_facility, HRV|lighthouse, HRV|solar_farm, HTI|burial_site, HTI|debris_or_rubble, HUN|helipad, HUN|water_treatment_facility, IDN|archaeological_site, IND|airport_hangar, IND|swimming_pool, IRL|airport_terminal, IRL|car_dealership, IRL|fountain, IRN|educational_institution, IRN|ground_transportation_station, IRN|place_of_worship, IRQ|military_facility, IRQ|multi-unit_residential, IRQ|road_bridge, ITA|zoo, JPN|airport_hangar, JPN|archaeological_site, JPN|electric_substation, KAZ|oil_or_gas_facility, KEN|office_building, KEN|place_of_worship, KO-|surface_mine, KOR|educational_institution, KOR|military_facility, KOR|smokestack, KOR|stadium, KWT|airport_terminal, KWT|smokestack, LBN|hospital, LBR|crop_field, LBY|place_of_worship, LTU|airport_hangar, LTU|multi-unit_residential, LTU|parking_lot_or_garage, LUX|educational_institution, LUX|shopping_mall, LVA|crop_field, LVA|ground_transportation_station, LVA|military_facility, LVA|parking_lot_or_garage, MEX|place_of_worship, MLT|crop_field, MLT|ground_transportation_station, MLT|surface_mine, MNG|airport_terminal, MTQ|crop_field, NLD|electric_substation, NLD|factory_or_powerplant, NLD|recreational_facility, NOR|fountain, NZL|waste_disposal, OMN|factory_or_powerplant, OMN|water_treatment_facility, PAN|crop_field, PAN|ground_transportation_station, PER|crop_field, PER|storage_tank, PER|toll_booth, PHL|parking_lot_or_garage, POL|parking_lot_or_garage, PRK|educational_institution, PRK|single-unit_residential, PRT|burial_site, PRT|military_facility, PRT|police_station, PRT|race_track, PRT|stadium, PRY|golf_course, QAT|airport_terminal, RUS|aquaculture, RUS|construction_site, RUS|helipad, RUS|lighthouse, RUS|park, RUS|solar_farm, RUS|water_treatment_facility, SAU|prison, SDN|police_station, SEN|crop_field, SGP|police_station, SLE|barn, SLV|fire_station, SLV|helipad, SRB|burial_site, SRB|surface_mine, SVK|ground_transportation_station, SVN|crop_field, SVN|park, SWE|factory_or_powerplant, SYR|hospital, THA|electric_substation, THA|place_of_worship, TUR|golf_course, TUR|road_bridge, TUR|water_treatment_facility, TUR|zoo, TWN|crop_field, TWN|storage_tank, TWN|waste_disposal, TWN|zoo, TZA|runway, TZA|stadium, TZA|surface_mine, UGA|parking_lot_or_garage, UKR|archaeological_site, UKR|burial_site, UKR|electric_substation, UKR|storage_tank, UKR|zoo, URY|tower, USA|archaeological_site, USA|educational_institution, USA|fountain, USA|police_station, VEN|airport_hangar, VNM|ground_transportation_station, VNM|toll_booth, ZAF|airport_hangar, ZAF|shopping_mall, ZAF|waste_disposal, ZMB|dam, ZWE|water_treatment_facility, ambiguous_country|border_checkpoint, ambiguous_country|construction_site, ambiguous_country|gas_station, ambiguous_country|ground_transportation_station, ambiguous_country|oil_or_gas_facility, ambiguous_country|park, ambiguous_country|single-unit_residential.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
