axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
country,ABW,2,2,1.0,1.0,True
country,AFG,10,5,0.5,1.0,True
country,AIA,9,9,1.0,1.0,True
country,ALB,6,4,0.6666666666666666,1.0,True
country,AND,11,9,0.8181818181818182,1.0,True
country,ANT,4,4,1.0,0.5,True
country,ARE,34,29,0.8529411764705882,0.9655172413793104,True
country,ARG,63,44,0.6984126984126984,0.9090909090909091,True
country,ATG,7,6,0.8571428571428571,1.0,True
country,AUS,38,29,0.7631578947368421,0.896551724137931,True
country,AUT,12,10,0.8333333333333334,1.0,True
country,AZE,1,0,0.0,,False
country,BEL,30,23,0.7666666666666667,0.9565217391304348,True
country,BEN,1,0,0.0,,False
country,BFA,11,10,0.9090909090909091,0.2,True
country,BGD,36,26,0.7222222222222222,0.5,True
country,BGR,3,2,0.6666666666666666,1.0,True
country,BHR,15,14,0.9333333333333333,0.35714285714285715,True
country,BHS,38,34,0.8947368421052632,1.0,True
country,BIH,2,2,1.0,0.0,True
country,BLR,23,16,0.6956521739130435,0.9375,True
country,BLZ,12,10,0.8333333333333334,0.6,True
country,BOL,27,22,0.8148148148148148,0.5909090909090909,True
country,BRA,107,81,0.7570093457943925,0.8148148148148148,True
country,BRB,20,15,0.75,0.7333333333333333,True
country,BRN,15,14,0.9333333333333333,0.5714285714285714,True
country,BWA,6,6,1.0,0.3333333333333333,True
country,CA-,17,11,0.6470588235294118,0.7272727272727273,True
country,CAN,36,28,0.7777777777777778,0.6428571428571429,True
country,CHE,31,25,0.8064516129032258,0.72,True
country,CHL,20,17,0.85,0.8823529411764706,True
country,CHN,134,118,0.8805970149253731,0.6016949152542372,True
country,CIV,24,22,0.9166666666666666,0.9090909090909091,True
country,CMR,26,18,0.6923076923076923,0.8888888888888888,True
country,COG,2,2,1.0,1.0,True
country,COL,19,12,0.631578947368421,0.8333333333333334,True
country,CPV,19,18,0.9473684210526315,1.0,True
country,CRI,15,13,0.8666666666666667,0.9230769230769231,True
country,CUB,9,8,0.8888888888888888,0.75,True
country,CYP,23,17,0.7391304347826086,0.9411764705882353,True
country,CZE,24,19,0.7916666666666666,0.9473684210526315,True
country,DEU,75,55,0.7333333333333333,0.8545454545454545,True
country,DJI,22,19,0.8636363636363636,1.0,True
country,DNK,27,24,0.8888888888888888,0.9583333333333334,True
country,DOM,6,4,0.6666666666666666,1.0,True
country,DZA,41,35,0.8536585365853658,0.7714285714285715,True
country,ECU,44,39,0.8863636363636364,0.717948717948718,True
country,EGY,47,37,0.7872340425531915,0.8108108108108109,True
country,ESP,95,75,0.7894736842105263,0.8266666666666667,True
country,EST,34,26,0.7647058823529411,0.9230769230769231,True
country,ETH,61,45,0.7377049180327869,0.9777777777777777,True
country,FIN,7,5,0.7142857142857143,1.0,True
country,FJI,13,9,0.6923076923076923,1.0,True
country,FLK,22,16,0.7272727272727273,0.625,True
country,FRA,97,79,0.8144329896907216,0.8860759493670886,True
country,GAB,9,9,1.0,1.0,True
country,GBR,128,99,0.7734375,0.8383838383838383,True
country,GEO,18,16,0.8888888888888888,0.9375,True
country,GHA,10,9,0.9,1.0,True
country,GIN,24,16,0.6666666666666666,0.9375,True
country,GLP,4,3,0.75,1.0,True
country,GNB,2,2,1.0,1.0,True
country,GRC,28,25,0.8928571428571429,0.88,True
country,GTM,24,17,0.7083333333333334,0.7647058823529411,True
country,GUF,10,6,0.6,1.0,True
country,HKG,9,6,0.6666666666666666,0.6666666666666666,True
country,HND,44,36,0.8181818181818182,0.8888888888888888,True
country,HRV,19,16,0.8421052631578947,1.0,True
country,HTI,3,1,0.3333333333333333,1.0,True
country,HUN,21,17,0.8095238095238095,0.8235294117647058,True
country,IDN,48,40,0.8333333333333334,0.65,True
country,IND,122,92,0.7540983606557377,0.7391304347826086,True
country,IRL,15,13,0.8666666666666667,0.6153846153846154,True
country,IRN,14,11,0.7857142857142857,0.9090909090909091,True
country,IRQ,41,31,0.7560975609756098,0.8387096774193549,True
country,ISL,13,12,0.9230769230769231,1.0,True
country,ITA,76,60,0.7894736842105263,0.8166666666666667,True
country,JAM,2,2,1.0,1.0,True
country,JOR,16,13,0.8125,0.9230769230769231,True
country,JPN,59,46,0.7796610169491526,0.9130434782608695,True
country,KAZ,14,11,0.7857142857142857,1.0,True
country,KEN,19,16,0.8421052631578947,0.875,True
country,KGZ,16,11,0.6875,1.0,True
country,KHM,11,10,0.9090909090909091,0.2,True
country,KO-,25,21,0.84,0.47619047619047616,True
country,KOR,40,32,0.8,0.53125,True
country,KWT,8,5,0.625,0.8,True
country,LAO,21,15,0.7142857142857143,1.0,True
country,LBN,4,2,0.5,1.0,True
country,LBR,22,20,0.9090909090909091,0.7,True
country,LBY,69,60,0.8695652173913043,0.7,True
country,LCA,8,5,0.625,1.0,True
country,LKA,15,10,0.6666666666666666,1.0,True
country,LSO,21,19,0.9047619047619048,1.0,True
country,LTU,26,19,0.7307692307692307,0.6842105263157895,True
country,LUX,9,5,0.5555555555555556,0.8,True
country,LVA,37,31,0.8378378378378378,1.0,True
country,MAR,28,25,0.8928571428571429,0.64,True
country,MDA,6,5,0.8333333333333334,1.0,True
country,MDG,2,2,1.0,1.0,True
country,MEX,14,12,0.8571428571428571,1.0,True
country,MKD,11,9,0.8181818181818182,1.0,True
country,MLI,1,1,1.0,1.0,True
country,MLT,18,12,0.6666666666666666,0.8333333333333334,True
country,MMR,10,9,0.9,1.0,True
country,MNG,25,22,0.88,0.9545454545454546,True
country,MOZ,11,10,0.9090909090909091,0.4,True
country,MRT,2,2,1.0,1.0,True
country,MTQ,22,18,0.8181818181818182,0.9444444444444444,True
country,MYS,8,8,1.0,0.5,True
country,NAM,2,2,1.0,1.0,True
country,NCL,21,15,0.7142857142857143,0.4,True
country,NGA,20,16,0.8,0.9375,True
country,NIC,18,17,0.9444444444444444,0.11764705882352941,True
country,NLD,92,72,0.782608695652174,0.8611111111111112,True
country,NOR,11,8,0.7272727272727273,1.0,True
country,NPL,50,37,0.74,1.0,True
country,NZL,12,9,0.75,1.0,True
country,OMN,5,4,0.8,0.5,True
country,PAK,19,17,0.8947368421052632,0.8823529411764706,True
country,PAN,21,18,0.8571428571428571,1.0,True
country,PER,34,26,0.7647058823529411,0.8461538461538461,True
country,PHL,61,58,0.9508196721311475,0.43103448275862066,True
country,POL,31,22,0.7096774193548387,0.8636363636363636,True
country,PRI,44,31,0.7045454545454546,0.9354838709677419,True
country,PRK,35,29,0.8285714285714286,0.7931034482758621,True
country,PRT,24,19,0.7916666666666666,0.9473684210526315,True
country,PRY,7,5,0.7142857142857143,0.8,True
country,PSE,4,3,0.75,0.3333333333333333,True
country,QAT,18,17,0.9444444444444444,0.4117647058823529,True
country,ROU,17,14,0.8235294117647058,0.7857142857142857,True
country,RUS,150,118,0.7866666666666666,0.8728813559322034,True
country,SAU,38,38,1.0,0.868421052631579,True
country,SDN,6,6,1.0,0.6666666666666666,True
country,SEN,14,12,0.8571428571428571,0.9166666666666666,True
country,SGP,19,16,0.8421052631578947,0.5,True
country,SLE,22,18,0.8181818181818182,0.3888888888888889,True
country,SLV,17,15,0.8823529411764706,0.6666666666666666,True
country,SOM,26,23,0.8846153846153846,0.21739130434782608,True
country,SRB,16,14,0.875,1.0,True
country,SSD,1,1,1.0,0.0,True
country,SVK,33,26,0.7878787878787878,1.0,True
country,SVN,35,21,0.6,0.8571428571428571,True
country,SWE,8,7,0.875,0.8571428571428571,True
country,SYR,23,23,1.0,0.7391304347826086,True
country,TGO,12,6,0.5,1.0,True
country,THA,29,24,0.8275862068965517,0.8333333333333334,True
country,TKM,11,10,0.9090909090909091,1.0,True
country,TON,19,15,0.7894736842105263,0.7333333333333333,True
country,TTO,8,6,0.75,1.0,True
country,TUN,34,28,0.8235294117647058,0.9285714285714286,True
country,TUR,65,46,0.7076923076923077,0.717391304347826,True
country,TWN,31,25,0.8064516129032258,0.44,True
country,TZA,71,53,0.7464788732394366,0.7735849056603774,True
country,UGA,14,13,0.9285714285714286,0.38461538461538464,True
country,UKR,71,56,0.7887323943661971,0.9285714285714286,True
country,URY,31,23,0.7419354838709677,1.0,True
country,USA,89,82,0.9213483146067416,0.45121951219512196,True
country,UZB,21,17,0.8095238095238095,0.8235294117647058,True
country,VAT,10,8,0.8,0.875,True
country,VEN,13,13,1.0,0.7692307692307693,True
country,VNM,28,20,0.7142857142857143,0.9,True
country,YEM,16,14,0.875,0.5714285714285714,True
country,ZAF,35,29,0.8285714285714286,0.896551724137931,True
country,ZMB,3,2,0.6666666666666666,1.0,True
country,ZWE,28,24,0.8571428571428571,0.5,True
country,ambiguous_country,61,44,0.7213114754098361,0.8863636363636364,True
class_label,airport,48,48,1.0,0.20833333333333334,True
class_label,airport_hangar,30,24,0.8,0.875,True
class_label,airport_terminal,60,48,0.8,0.9166666666666666,True
class_label,amusement_park,56,52,0.9285714285714286,0.38461538461538464,True
class_label,aquaculture,78,74,0.9487179487179487,0.35135135135135137,True
class_label,archaeological_site,57,42,0.7368421052631579,0.9761904761904762,True
class_label,barn,59,49,0.8305084745762712,1.0,True
class_label,border_checkpoint,72,61,0.8472222222222222,0.8688524590163934,True
class_label,burial_site,66,46,0.696969696969697,0.9782608695652174,True
class_label,car_dealership,32,27,0.84375,0.8888888888888888,True
class_label,construction_site,33,24,0.7272727272727273,0.9583333333333334,True
class_label,crop_field,100,76,0.76,0.9473684210526315,True
class_label,dam,40,33,0.825,0.7878787878787878,True
class_label,debris_or_rubble,107,85,0.794392523364486,0.8235294117647058,True
class_label,educational_institution,63,42,0.6666666666666666,0.9047619047619048,True
class_label,electric_substation,56,34,0.6071428571428571,1.0,True
class_label,factory_or_powerplant,42,34,0.8095238095238095,1.0,True
class_label,fire_station,52,43,0.8269230769230769,1.0,True
class_label,flooded_road,32,25,0.78125,0.56,True
class_label,fountain,56,43,0.7678571428571429,0.9534883720930233,True
class_label,gas_station,55,48,0.8727272727272727,0.9791666666666666,True
class_label,golf_course,45,34,0.7555555555555555,0.8823529411764706,True
class_label,ground_transportation_station,83,62,0.7469879518072289,0.9838709677419355,True
class_label,helipad,36,31,0.8611111111111112,0.6451612903225806,True
class_label,hospital,39,30,0.7692307692307693,1.0,True
class_label,impoverished_settlement,45,45,1.0,0.24444444444444444,True
class_label,interchange,52,37,0.7115384615384616,0.8648648648648649,True
class_label,lake_or_pond,32,26,0.8125,0.8461538461538461,True
class_label,lighthouse,50,39,0.78,0.5128205128205128,True
class_label,military_facility,75,52,0.6933333333333334,0.9807692307692307,True
class_label,multi-unit_residential,37,33,0.8918918918918919,0.45454545454545453,True
class_label,nuclear_powerplant,73,69,0.9452054794520548,0.7681159420289855,True
class_label,office_building,36,26,0.7222222222222222,0.9230769230769231,True
class_label,oil_or_gas_facility,50,40,0.8,0.95,True
class_label,park,53,34,0.6415094339622641,0.9705882352941176,True
