true_group_disparity,groups,support_mode,metric,mean_estimate,median_estimate,p95_estimate,sd_estimate,repetitions
0.0,10,equal,BWER1,0.10121000000000001,0.0975,0.15999999999999998,0.03339935529119889,500
0.0,10,equal,BWER2,0.10120999999999998,0.09749999999999998,0.16,0.03339935529119889,500
0.0,10,equal,crossfit_BWER2,0.0017600000000000083,-0.0037499999999999895,0.13262499999999983,0.06879220256881252,500
0.0,10,equal,max_excess,0.10121,0.09749999999999998,0.15999999999999995,0.03339935529119889,500
0.0,10,equal,Gini_abs,0.03214900000000001,0.031250000000000014,0.047000000000000014,0.007898834228183845,500
0.0,10,equal,EB_TV,0.12081525708317625,0.11851851851851855,0.1712426614481409,0.030669096749188236,500
0.0,10,equal,spectral_gap,0.085469375,0.08281250000000001,0.13042187499999994,0.025215764018902714,500
0.0,10,heterogeneous,BWER1,0.07922998351427235,0.07020909363682967,0.15509184577598867,0.04113606150145287,500
0.0,10,heterogeneous,BWER2,0.07922998351427234,0.07020909363682967,0.1550918457759886,0.04113606150145286,500
0.0,10,heterogeneous,crossfit_BWER2,-0.005757936256684466,-0.008409380067005257,0.11363314645083875,0.0661410633503392,500
0.0,10,heterogeneous,max_excess,0.07922998351427234,0.07020909363682967,0.15509184577598867,0.04113606150145287,500
0.0,10,heterogeneous,Gini_abs,0.024146451466000713,0.02325392821735063,0.03925625241026509,0.007914308478582549,500
0.0,10,heterogeneous,EB_TV,0.08963427917052065,0.08537136317753247,0.1437131100884935,0.029538560715864987,500
0.0,10,heterogeneous,spectral_gap,0.0655855689172233,0.06002455362311846,0.121080741256728,0.02966892783691056,500
0.0,50,equal,BWER1,0.11215299999999999,0.11199999999999993,0.1385,0.0154983382327252,500
0.0,50,equal,BWER2,0.11215299999999996,0.11199999999999993,0.1384999999999999,0.015498338232725192,500
0.0,50,equal,crossfit_BWER2,9.299999999998087e-05,-0.0010000000000000078,0.053524999999999955,0.03124463642949334,500
0.0,50,equal,max_excess,0.15087299999999998,0.14599999999999996,0.209025,0.03224641116568063,500
0.0,50,equal,Gini_abs,0.03464658,0.03470500000000001,0.040044500000000004,0.0034774650004361675,500
0.0,50,equal,EB_TV,0.12438003573435788,0.1238782760980716,0.14738888888888887,0.013743543664909406,500
0.0,50,equal,spectral_gap,0.09796362499999998,0.09781249999999997,0.11863437499999999,0.012538498966564688,500
0.0,50,heterogeneous,BWER1,0.0905069416608445,0.08789946217743203,0.12832168088903592,0.020408817008073978,500
0.0,50,heterogeneous,BWER2,0.09050694166084446,0.08789946217743198,0.12832168088903592,0.020408817008073975,500
0.0,50,heterogeneous,crossfit_BWER2,0.0013502838641314074,-0.0014495943002178144,0.0614595354428966,0.03364269770417435,500
0.0,50,heterogeneous,max_excess,0.14101948488600546,0.13054758310159637,0.25208852547278393,0.054940045880973065,500
0.0,50,heterogeneous,Gini_abs,0.026579066464652933,0.026349129501198092,0.03329831642641821,0.0037872516302520664,500
0.0,50,heterogeneous,EB_TV,0.09249130968988038,0.09171123070215119,0.11334836375305928,0.012631084048122757,500
0.0,50,heterogeneous,spectral_gap,0.07888491723572977,0.0767102356881682,0.11085228519454193,0.0171593871396086,500
0.0,200,equal,BWER1,0.11476399999999996,0.11524999999999994,0.12926875000000002,0.008531515252580285,500
0.0,200,equal,BWER2,0.11476400000000006,0.11525000000000007,0.12926875000000007,0.0085315152525803,500
0.0,200,equal,crossfit_BWER2,-5.8500000000080684e-05,-0.0007500000000000631,0.02606249999999987,0.01598654408976085,500
0.0,200,equal,max_excess,0.18823900000000007,0.17962500000000003,0.24526250000000005,0.03034591204356052,500
0.0,200,equal,Gini_abs,0.035311775,0.035239687500000005,0.038283125,0.0017939923331379416,500
0.0,200,equal,EB_TV,0.1256895278185693,0.12543957053748261,0.13777546991674539,0.00699634458100293,500
0.0,200,equal,spectral_gap,0.10053478125000004,0.10085937500000003,0.11164296875000006,0.0068453447371330635,500
0.0,200,heterogeneous,BWER1,0.09183142864843992,0.09087233533029732,0.11000494751340792,0.01027199053637539,500
0.0,200,heterogeneous,BWER2,0.09183142864843986,0.09087233533029723,0.11000494751340784,0.010271990536375382,500
0.0,200,heterogeneous,crossfit_BWER2,-0.0015822217986766916,-0.0011197356326263577,0.026996955604979347,0.01692066551359892,500
0.0,200,heterogeneous,max_excess,0.2026479154307378,0.19099090302886548,0.3228772585364119,0.06254119968377256,500
0.0,200,heterogeneous,Gini_abs,0.026657419742891982,0.026562162522093466,0.029792659508995966,0.0018142018161483764,500
0.0,200,heterogeneous,EB_TV,0.09178408953673522,0.09177195019802983,0.101387907002836,0.0059144236760563535,500
0.0,200,heterogeneous,spectral_gap,0.08039707926847668,0.07949070742026336,0.09567763506861868,0.008706483503983953,500
