dataset,model_or_condition,axis,n_valid_slices,source,mean_risk,BWER1,BWER2,BWER-S,max_excess,spectral_gap,expectile_gap,EVaR_gap,Gini_abs,Theil,Atkinson_e0.5,EB_TV,BWER_N,upper_semideviation,target_exceedance_0.25
Sen1Floods11,Prithvi-TL,event,11,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_protocol_matched_matched_runs_prithvi_tl_bwer_by_slice.csv,0.26896812296002154,0.2510269727088768,0.27063608494441427,0.3007067610493492,0.2749936654412003,0.2258332259364264,0.1487567245682233,0.27406845369120947,0.07316704307205543,0.12205407119001337,0.06094139962005629,0.19280332942434633,0.11180014856037243,0.10816501206363684,0.0432360755429721
Sen1Floods11,ResNet34-U-Net,event,11,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_protocol_matched_matched_runs_s2_resnet34_unet_bwer_by_slice.csv,0.2942744983541044,0.17733362156729465,0.20470112086913406,0.2274456898545934,0.21078278738065392,0.17738009583349043,0.10657016012498932,0.20953495523188903,0.06941168066150863,0.09255940793543536,0.0491446479230927,0.16800492907982456,0.07729031605752835,0.08668002053829982,0.0318997203643223
Sen1Floods11,MNDWI,event,11,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_protocol_matched_matched_runs_spectral_mndwi_bwer_by_slice.csv,0.4770114411788389,0.3156428363428105,0.36708677193868877,0.4078741910429875,0.37851875762666176,0.32086320779779187,0.1959694938564811,0.3762885111081704,0.12095991341000646,0.10217819360597591,0.052429034304519284,0.1950823912312757,0.0855061652263534,0.15979860943332624,0.008780937217833351
Sen1Floods11,Vanilla-U-Net,event,11,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\01_sen1floods\sen1floods11_protocol_matched_matched_runs_vanilla_unet_bwer_by_slice.csv,0.3583520494704994,0.31887655243787855,0.40652190962762846,0.45169101069736495,0.4259986556697951,0.3311119581066846,0.18896388292615018,0.42209394989042415,0.1092286777636379,0.15328178408580032,0.08029259315769177,0.21963217216371167,0.1260467217544264,0.14980852663636376,0.031987523938962925
fMoW-Sentinel,DOFA,country,145,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\02_fmow\fmow_sentinel_dofa_vitb_linear_probe_30k_location_disjoint_scaled10000_bwer_bwer_by_slice.csv,0.8345256545065131,0.16141538857738724,0.1620964426081949,0.18010715845354988,0.16547434549348694,0.14950319048272936,0.09599313745663574,0.1643046483601116,0.07949261174578079,0.0186145559132455,0.009952703367340554,0.06992128172278157,0.021581979832609715,0.08296024856732831,0.0
fMoW-Sentinel,ResNet50,country,145,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\02_fmow\fmow_sentinel_resnet50_30k_location_disjoint_audit_table.csv,0.8243994145303003,0.17361207464336303,0.1740996788306639,0.19344408758962656,0.1756005854696997,0.15987085428481118,0.1035932847690485,0.17508091813092386,0.0814279107007993,0.02106701165882181,0.011767982538199218,0.07037194327169374,0.023464850190346255,0.08692458022707655,0.0012725779967158735
reBEN,CROMA-S1,country,10,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\03_reben\bwer_croma_s1_bwer_by_slice.csv,0.3738738121074485,0.15882817397998816,0.15882817397998816,0.17647574886665351,0.15882817397998816,0.1343751734422365,0.08256969754976029,0.15882817397998816,0.04931577482269167,0.027176187189342185,0.013659350107268042,0.0932532432810577,0.04720195508529913,0.06388784577721686,0.0012255142167181265
reBEN,CROMA-S2,country,10,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\03_reben\bwer_croma_s2_bwer_by_slice.csv,0.315102382688046,0.10553858910927066,0.10553858910927061,0.11726509901030067,0.10553858910927061,0.09356214871742399,0.05835010041806882,0.10553858910927055,0.04003960245994029,0.02674056985226011,0.013749979711241811,0.0887825316825642,0.03721491980160432,0.04693664818464849,0.009849691336470692
reBEN,CROMA-S1+S2,country,10,D:\Codex\rsfm-fairness-audit\outputs\019e9c6b-cca4-7fa2-aea5-cb2a55798073\presentations\rsfm-bwer-progress-update\assets\canonical\03_reben\bwer_croma_s1_plus_s2_bwer_by_slice.csv,0.30051804226979106,0.07242186493060693,0.07242186493060682,0.08046873881178535,0.07242186493060687,0.06853635353145056,0.04648334084452038,0.07242186493060682,0.035574444680094144,0.024408769396725514,0.01265133286737663,0.08981685631154221,0.026776674772672808,0.03970404664358255,0.011649116141786937
