source,artifact_kind,columns,missing_formal_columns,probability_status,raw_bwer_status,standardised_bwer_status,selective_bwer_status,conformal_bwer_status,inference_status,recommended_action,protocol_hash
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_conformal_bwer.csv,conformal,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_conformal_coverage_summary.csv,conformal,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_conformal_set_size_summary.csv,conformal,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_conformal_slice_coverage.csv,conformal,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_predictions.csv,audit_table,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_selective_bwer.csv,selective_or_predictions,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_landcover_audit_full_v1\alphaearth_full_selective_risk_summary.csv,selective_or_predictions,status;reason;required_action,dataset;model;task;split;sample_id;independent_unit_id;risk;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,unavailable,missing_balance_axis_or_risk,missing_confidence_or_risk,missing_prediction_set_outputs,missing_cluster_or_spatial_block,not_an_audit_source,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
outputs\alphaearth_gee_pilot_v1\alphaearth_landcover_pilot_audit_table.csv,selective_or_predictions,sample_id;lon;lat;year;country_iso3;region;income_group;biome_or_ecoregion;urban_rural_or_built_proxy;spatial_block_id;split;worldcover_label;worldcover_class_name;A00;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60;A61;A62;A63;support_stratum;dataset;task;model;label;class_label;prediction;predicted_class_name;correct;risk;confidence,independent_unit_id;split_role;model_signature;dataset_signature;protocol_hash;metric_version,missing,recomputable,missing_balance_axis_or_risk,recomputable,missing_prediction_set_outputs,cluster_ready,upgrade_schema_or_reexport,2d4a637d58f64c488b9afa72389789435f8794dca9257e4697b8c5e51d05cf73
