axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
country,PRI,44,39,0.8863636363636364,0.9487179487179487,True
country,PRK,35,34,0.9714285714285714,0.8235294117647058,True
country,PRT,24,20,0.8333333333333334,0.95,True
country,PRY,7,5,0.7142857142857143,0.8,True
country,PSE,4,4,1.0,0.5,True
country,QAT,18,18,1.0,0.4444444444444444,True
country,ROU,17,15,0.8823529411764706,0.8,True
country,RUS,150,131,0.8733333333333333,0.8854961832061069,True
country,SAU,38,38,1.0,0.868421052631579,True
country,SDN,6,6,1.0,0.6666666666666666,True
country,SEN,14,13,0.9285714285714286,0.9230769230769231,True
country,SGP,19,18,0.9473684210526315,0.5,True
country,SLE,22,21,0.9545454545454546,0.42857142857142855,True
country,SLV,17,17,1.0,0.7058823529411765,True
country,SOM,26,23,0.8846153846153846,0.21739130434782608,True
country,SRB,16,15,0.9375,1.0,True
country,SSD,1,1,1.0,0.0,True
country,SVK,33,30,0.9090909090909091,1.0,True
country,SVN,35,28,0.8,0.8928571428571429,True
country,SWE,8,8,1.0,0.875,True
country,SYR,23,23,1.0,0.7391304347826086,True
country,TGO,12,9,0.75,1.0,True
country,THA,29,27,0.9310344827586207,0.8518518518518519,True
country,TKM,11,11,1.0,1.0,True
country,TON,19,16,0.8421052631578947,0.75,True
country,TTO,8,7,0.875,1.0,True
country,TUN,34,30,0.8823529411764706,0.9333333333333333,True
country,TUR,65,53,0.8153846153846154,0.7358490566037735,True
country,TWN,31,29,0.9354838709677419,0.5172413793103449,True
country,TZA,71,64,0.9014084507042254,0.75,True
country,UGA,14,14,1.0,0.42857142857142855,True
country,UKR,71,61,0.8591549295774648,0.9344262295081968,True
country,URY,31,28,0.9032258064516129,1.0,True
country,USA,89,83,0.9325842696629213,0.4457831325301205,True
country,UZB,21,18,0.8571428571428571,0.7777777777777778,True
country,VAT,10,8,0.8,0.875,True
country,VEN,13,13,1.0,0.7692307692307693,True
country,VNM,28,26,0.9285714285714286,0.9230769230769231,True
country,YEM,16,16,1.0,0.625,True
country,ZAF,35,31,0.8857142857142857,0.9032258064516129,True
country,ZMB,3,2,0.6666666666666666,1.0,True
country,ZWE,28,27,0.9642857142857143,0.5185185185185185,True
country,ambiguous_country,61,52,0.8524590163934426,0.9038461538461539,True
class_label,airport,48,48,1.0,0.20833333333333334,True
class_label,airport_hangar,30,28,0.9333333333333333,0.8928571428571429,True
class_label,airport_terminal,60,53,0.8833333333333333,0.9245283018867925,True
class_label,amusement_park,56,54,0.9642857142857143,0.4074074074074074,True
class_label,aquaculture,78,77,0.9871794871794872,0.36363636363636365,True
class_label,archaeological_site,57,49,0.8596491228070176,0.9795918367346939,True
class_label,barn,59,54,0.9152542372881356,1.0,True
class_label,border_checkpoint,72,65,0.9027777777777778,0.8769230769230769,True
class_label,burial_site,66,53,0.803030303030303,0.9811320754716981,True
class_label,car_dealership,32,29,0.90625,0.896551724137931,True
class_label,construction_site,33,26,0.7878787878787878,0.9615384615384616,True
class_label,crop_field,100,87,0.87,0.9540229885057471,True
class_label,dam,40,36,0.9,0.8055555555555556,True
class_label,debris_or_rubble,107,97,0.9065420560747663,0.845360824742268,True
class_label,educational_institution,63,56,0.8888888888888888,0.9107142857142857,True
class_label,electric_substation,56,46,0.8214285714285714,0.9782608695652174,True
class_label,factory_or_powerplant,42,39,0.9285714285714286,0.9743589743589743,True
class_label,fire_station,52,49,0.9423076923076923,1.0,True
class_label,flooded_road,32,28,0.875,0.6071428571428571,True
class_label,fountain,56,48,0.8571428571428571,0.9375,True
class_label,gas_station,55,52,0.9454545454545454,0.9807692307692307,True
class_label,golf_course,45,40,0.8888888888888888,0.9,True
class_label,ground_transportation_station,83,72,0.8674698795180723,0.9722222222222222,True
class_label,helipad,36,34,0.9444444444444444,0.6764705882352942,True
class_label,hospital,39,37,0.9487179487179487,1.0,True
class_label,impoverished_settlement,45,45,1.0,0.24444444444444444,True
class_label,interchange,52,43,0.8269230769230769,0.8837209302325582,True
class_label,lake_or_pond,32,32,1.0,0.84375,True
class_label,lighthouse,50,48,0.96,0.6041666666666666,True
class_label,military_facility,75,63,0.84,0.9841269841269841,True
class_label,multi-unit_residential,37,33,0.8918918918918919,0.45454545454545453,True
class_label,nuclear_powerplant,73,69,0.9452054794520548,0.7681159420289855,True
class_label,office_building,36,32,0.8888888888888888,0.9375,True
class_label,oil_or_gas_facility,50,45,0.9,0.9555555555555556,True
class_label,park,53,43,0.8113207547169812,0.9767441860465116,True
class_label,parking_lot_or_garage,57,50,0.8771929824561403,0.98,True
class_label,place_of_worship,101,90,0.8910891089108911,0.9111111111111111,True
class_label,police_station,72,64,0.8888888888888888,0.96875,True
class_label,port,27,26,0.9629629629629629,0.4230769230769231,True
class_label,prison,58,52,0.896551724137931,1.0,True
class_label,race_track,48,43,0.8958333333333334,0.9767441860465116,True
class_label,railway_bridge,32,30,0.9375,0.9666666666666667,True
class_label,recreational_facility,64,54,0.84375,0.9629629629629629,True
class_label,road_bridge,63,54,0.8571428571428571,0.7592592592592593,True
class_label,runway,39,37,0.9487179487179487,0.40540540540540543,True
class_label,shipyard,17,16,0.9411764705882353,0.625,True
class_label,shopping_mall,45,37,0.8222222222222222,0.918918918918919,True
class_label,single-unit_residential,213,198,0.9295774647887324,0.702020202020202,True
