scenario,groups,min_support,median_support,max_support,true_bwer,method,mean,bias,rmse,sd,negative_fraction,repetitions,lcb_coverage,positive_certificate_rate
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,apparent_plugin,0.10877350062893336,0.10877350062893325,0.109078700790594,0.00816221603687709,0.0,500,,
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,crossfit_confirmed,0.0008266223029216258,0.0008266223029215148,0.020556916334748352,0.020560860944223415,0.466,500,,
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,empirical_bayes,0.005294248819336099,0.005294248819335988,0.009306775111873026,0.00766187974483987,0.0,500,,
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,bootstrap_bias_corrected,0.07325152810360583,0.07325152810360572,0.0742456331953951,0.012121118847534171,0.0,500,,
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,honest_split_wald_lcb,-0.037076710880940035,,,0.025633241323732417,0.928,500,0.928,0.072
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,honest_split_hoeffding_lcb,-0.07393264565059526,,,0.023910523322488504,1.0,500,1.0,0.0
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,honest_split_bernstein_lcb,-0.07969690347623876,,,0.023908285267504825,1.0,500,1.0,0.0
fmow_support_null,145,20,39.0,366,1.1102230246251565e-16,hoeffding_band_lcb,-0.6644352721511363,,,0.00816221603687709,1.0,500,1.0,0.0
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,apparent_plugin,0.1121147237452791,0.05832162029700329,0.05894958068310692,0.008590066771602374,0.0,500,,
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,crossfit_confirmed,0.010646394043752873,-0.04314670940452294,0.04752960405056846,0.019955479726322806,0.312,500,,
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,empirical_bayes,0.010321599344876656,-0.04347150410339916,0.04455582407669234,0.009779625365313273,0.0,500,,
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,bootstrap_bias_corrected,0.07924048354264064,0.025447380094364827,0.028328656725901635,0.012460102187379397,0.0,500,,
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,honest_split_wald_lcb,-0.027471526103740027,,,0.026129519545546095,0.84,500,0.998,0.16
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,honest_split_hoeffding_lcb,-0.0649378773988853,,,0.02428214016426071,0.998,500,1.0,0.002
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,honest_split_bernstein_lcb,-0.07068527268522332,,,0.024300844311207145,0.998,500,1.0,0.002
fmow_support_moderate_tail,145,20,39.0,366,0.053793103448275814,hoeffding_band_lcb,-0.6610940490347905,,,0.008590066771602374,1.0,500,1.0,0.0
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,apparent_plugin,0.12986784609228771,0.022281639195736086,0.023859913506219445,0.008542246028400806,0.0,500,,
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,crossfit_confirmed,0.04437761472116576,-0.06320859217538587,0.06644880465247043,0.020517295967440605,0.014,500,,
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,empirical_bayes,0.03237882987867415,-0.07520737701787747,0.07622549129685745,0.012429196893160249,0.0,500,,
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,bootstrap_bias_corrected,0.10603353926425635,-0.0015526676322952793,0.012148903382396464,0.012061344397527929,0.0,500,,
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,honest_split_wald_lcb,0.010183382764572676,,,0.027170452262092054,0.352,500,1.0,0.648
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,honest_split_hoeffding_lcb,-0.02988585965542476,,,0.02504661942955664,0.88,500,1.0,0.12
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,honest_split_bernstein_lcb,-0.03577692707897871,,,0.02504910320539805,0.92,500,1.0,0.08
fmow_support_strong_tail,145,20,39.0,366,0.10758620689655163,hoeffding_band_lcb,-0.6433409266877819,,,0.008542246028400806,1.0,500,1.0,0.0
small_G_null,11,28,75.0,190,-5.551115123125783e-17,apparent_plugin,0.09066120577455504,0.0906612057745551,0.09676809050165419,0.03386595506796529,0.0,500,,
small_G_null,11,28,75.0,190,-5.551115123125783e-17,crossfit_confirmed,0.001463222362303664,0.0014632223623037195,0.06397759468762561,0.06402491688629632,0.544,500,,
small_G_null,11,28,75.0,190,-5.551115123125783e-17,empirical_bayes,0.013355519216079335,0.01335551921607939,0.024469443665417773,0.02052379673034317,0.0,500,,
small_G_null,11,28,75.0,190,-5.551115123125783e-17,bootstrap_bias_corrected,0.05365644458118635,0.0536564445811864,0.07080680019132056,0.04624788256258561,0.1,500,,
small_G_null,11,28,75.0,190,-5.551115123125783e-17,honest_split_wald_lcb,-0.11437136591013598,,,0.06643201403282559,0.952,500,0.952,0.048
small_G_null,11,28,75.0,190,-5.551115123125783e-17,honest_split_hoeffding_lcb,-0.20538684714606587,,,0.09129953481844284,0.998,500,0.998,0.002
small_G_null,11,28,75.0,190,-5.551115123125783e-17,honest_split_bernstein_lcb,-0.2396540670302629,,,0.10128120311587935,1.0,500,1.0,0.0
small_G_null,11,28,75.0,190,-5.551115123125783e-17,hoeffding_band_lcb,-0.44762406679116695,,,0.03386595506796528,1.0,500,1.0,0.0
small_G_two_bad,11,28,75.0,190,0.24545454545454543,apparent_plugin,0.2631780011747954,0.01772345572024997,0.06530180885133545,0.0629136042504979,0.0,500,,
small_G_two_bad,11,28,75.0,190,0.24545454545454543,crossfit_confirmed,0.21775020624566147,-0.02770433920888396,0.0986444514382527,0.09476898072665353,0.02,500,,
small_G_two_bad,11,28,75.0,190,0.24545454545454543,empirical_bayes,0.17250624824028324,-0.07294829721426219,0.10058959035310681,0.0693283814168864,0.0,500,,
small_G_two_bad,11,28,75.0,190,0.24545454545454543,bootstrap_bias_corrected,0.24597833550611733,0.0005237900515719096,0.0712557992921162,0.07132523505078917,0.0,500,,
small_G_two_bad,11,28,75.0,190,0.24545454545454543,honest_split_wald_lcb,0.05340695932335052,,,0.11451218098602721,0.294,500,0.942,0.706
small_G_two_bad,11,28,75.0,190,0.24545454545454543,honest_split_hoeffding_lcb,-0.03988195280505933,,,0.10942577502823812,0.654,500,0.996,0.346
small_G_two_bad,11,28,75.0,190,0.24545454545454543,honest_split_bernstein_lcb,-0.09322601466818961,,,0.10785429339469352,0.812,500,1.0,0.188
small_G_two_bad,11,28,75.0,190,0.24545454545454543,hoeffding_band_lcb,-0.2751072713909266,,,0.0629136042504979,1.0,500,1.0,0.0
