axis,validity,protocol_hash,metric_version,loss_name,deployment_weighting,audit_measure,partition_rule,estimand_scope,dependence_design,excluded_groups,message,standardization_target,ci_low,ci_high,lower_confidence_bound,certification_radius,weighted_sum_radius,total_variation_radius,certification_radius_method,parameter_upper_bound,partial_bwer_lower,partial_bwer_upper,beta,mean_risk,tail_risk,bwer,worst_group_risk,worst_group_gap,deployment_effective_groups,tail_effective_groups,max_tail_atom_share,boundary_risk,boundary_tie_groups,deployment_weights,selected_mass,conditional_tail_weights,cluster_count,critical_value
country,not_identified_zero_selective_coverage,88b77edb07a1be39773b3d4fb66db8e787c4cfaf79198c6d2ec5d17f0c222c15,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,AZE;BEN,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: AZE, BEN.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
class_label,descriptive_only,88b77edb07a1be39773b3d4fb66db8e787c4cfaf79198c6d2ec5d17f0c222c15,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,shipyard,Groups below the pre-registered support threshold were excluded; inspect valid deployment mass.,uniform,0.0,0.7578445514885926,0.0,0.5741577210170352,0.5741577210170352,1.021487121981495,weighted_tail_plus_mean,0.9,,,0.1,0.8134017255405988,0.9970885560121562,0.18368683047155743,1.0,0.18659827445940125,61.0,6.191347753743761,0.16393442622950818,0.9811320754716981,['burial_site'],"{'barn': 0.01639344262295082, 'fire_station': 0.01639344262295082, 'hospital': 0.01639344262295082, 'prison': 0.01639344262295082, 'zoo': 0.01639344262295082, 'military_facility': 0.01639344262295082, 'burial_site': 0.01639344262295082, 'gas_station': 0.01639344262295082, 'parking_lot_or_garage': 0.01639344262295082, 'archaeological_site': 0.01639344262295082, 'electric_substation': 0.01639344262295082, 'park': 0.01639344262295082, 'race_track': 0.01639344262295082, 'factory_or_powerplant': 0.01639344262295082, 'ground_transportation_station': 0.01639344262295082, 'police_station': 0.01639344262295082, 'railway_bridge': 0.01639344262295082, 'recreational_facility': 0.01639344262295082, 'construction_site': 0.01639344262295082, 'oil_or_gas_facility': 0.01639344262295082, 'crop_field': 0.01639344262295082, 'fountain': 0.01639344262295082, 'office_building': 0.01639344262295082, 'smokestack': 0.01639344262295082, 'airport_terminal': 0.01639344262295082, 'shopping_mall': 0.01639344262295082, 'water_treatment_facility': 0.01639344262295082, 'place_of_worship': 0.01639344262295082, 'educational_institution': 0.01639344262295082, 'golf_course': 0.01639344262295082, 'car_dealership': 0.01639344262295082, 'airport_hangar': 0.01639344262295082, 'waste_disposal': 0.01639344262295082, 'tower': 0.01639344262295082, 'interchange': 0.01639344262295082, 'border_checkpoint': 0.01639344262295082, 'toll_booth': 0.01639344262295082, 'solar_farm': 0.01639344262295082, 'swimming_pool': 0.01639344262295082, 'debris_or_rubble': 0.01639344262295082, 'lake_or_pond': 0.01639344262295082, 'dam': 0.01639344262295082, 'storage_tank': 0.01639344262295082, 'wind_farm': 0.01639344262295082, 'nuclear_powerplant': 0.01639344262295082, 'road_bridge': 0.01639344262295082, 'single-unit_residential': 0.01639344262295082, 'helipad': 0.01639344262295082, 'flooded_road': 0.01639344262295082, 'lighthouse': 0.01639344262295082, 'surface_mine': 0.01639344262295082, 'stadium': 0.01639344262295082, 'tunnel_opening': 0.01639344262295082, 'multi-unit_residential': 0.01639344262295082, 'port': 0.01639344262295082, 'space_facility': 0.01639344262295082, 'amusement_park': 0.01639344262295082, 'runway': 0.01639344262295082, 'aquaculture': 0.01639344262295082, 'impoverished_settlement': 0.01639344262295082, 'airport': 0.01639344262295082}","{'barn': 0.01639344262295082, 'fire_station': 0.01639344262295082, 'hospital': 0.01639344262295082, 'prison': 0.01639344262295082, 'zoo': 0.01639344262295082, 'military_facility': 0.01639344262295082, 'burial_site': 0.0016393442622950685, 'gas_station': 0.0, 'parking_lot_or_garage': 0.0, 'archaeological_site': 0.0, 'electric_substation': 0.0, 'park': 0.0, 'race_track': 0.0, 'factory_or_powerplant': 0.0, 'ground_transportation_station': 0.0, 'police_station': 0.0, 'railway_bridge': 0.0, 'recreational_facility': 0.0, 'construction_site': 0.0, 'oil_or_gas_facility': 0.0, 'crop_field': 0.0, 'fountain': 0.0, 'office_building': 0.0, 'smokestack': 0.0, 'airport_terminal': 0.0, 'shopping_mall': 0.0, 'water_treatment_facility': 0.0, 'place_of_worship': 0.0, 'educational_institution': 0.0, 'golf_course': 0.0, 'car_dealership': 0.0, 'airport_hangar': 0.0, 'waste_disposal': 0.0, 'tower': 0.0, 'interchange': 0.0, 'border_checkpoint': 0.0, 'toll_booth': 0.0, 'solar_farm': 0.0, 'swimming_pool': 0.0, 'debris_or_rubble': 0.0, 'lake_or_pond': 0.0, 'dam': 0.0, 'storage_tank': 0.0, 'wind_farm': 0.0, 'nuclear_powerplant': 0.0, 'road_bridge': 0.0, 'single-unit_residential': 0.0, 'helipad': 0.0, 'flooded_road': 0.0, 'lighthouse': 0.0, 'surface_mine': 0.0, 'stadium': 0.0, 'tunnel_opening': 0.0, 'multi-unit_residential': 0.0, 'port': 0.0, 'space_facility': 0.0, 'amusement_park': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'impoverished_settlement': 0.0, 'airport': 0.0}","{'barn': 0.16393442622950818, 'fire_station': 0.16393442622950818, 'hospital': 0.16393442622950818, 'prison': 0.16393442622950818, 'zoo': 0.16393442622950818, 'military_facility': 0.16393442622950818, 'burial_site': 0.016393442622950685, 'gas_station': 0.0, 'parking_lot_or_garage': 0.0, 'archaeological_site': 0.0, 'electric_substation': 0.0, 'park': 0.0, 'race_track': 0.0, 'factory_or_powerplant': 0.0, 'ground_transportation_station': 0.0, 'police_station': 0.0, 'railway_bridge': 0.0, 'recreational_facility': 0.0, 'construction_site': 0.0, 'oil_or_gas_facility': 0.0, 'crop_field': 0.0, 'fountain': 0.0, 'office_building': 0.0, 'smokestack': 0.0, 'airport_terminal': 0.0, 'shopping_mall': 0.0, 'water_treatment_facility': 0.0, 'place_of_worship': 0.0, 'educational_institution': 0.0, 'golf_course': 0.0, 'car_dealership': 0.0, 'airport_hangar': 0.0, 'waste_disposal': 0.0, 'tower': 0.0, 'interchange': 0.0, 'border_checkpoint': 0.0, 'toll_booth': 0.0, 'solar_farm': 0.0, 'swimming_pool': 0.0, 'debris_or_rubble': 0.0, 'lake_or_pond': 0.0, 'dam': 0.0, 'storage_tank': 0.0, 'wind_farm': 0.0, 'nuclear_powerplant': 0.0, 'road_bridge': 0.0, 'single-unit_residential': 0.0, 'helipad': 0.0, 'flooded_road': 0.0, 'lighthouse': 0.0, 'surface_mine': 0.0, 'stadium': 0.0, 'tunnel_opening': 0.0, 'multi-unit_residential': 0.0, 'port': 0.0, 'space_facility': 0.0, 'amusement_park': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'impoverished_settlement': 0.0, 'airport': 0.0}",1314,2.7121191435091725
country_class,not_identified_zero_selective_coverage,88b77edb07a1be39773b3d4fb66db8e787c4cfaf79198c6d2ec5d17f0c222c15,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,AUS|archaeological_site;AUS|race_track;AUT|airport_terminal;AUT|barn;AZE|electric_substation;BEL|place_of_worship;BEL|recreational_facility;BEN|recreational_facility;BGR|fire_station;BHR|water_treatment_facility;BLR|park;BOL|airport_terminal;BRA|stadium;CAN|burial_site;CAN|crop_field;CHL|construction_site;DEU|helipad;DEU|office_building;DNK|smokestack;DOM|amusement_park;EGY|recreational_facility;ESP|burial_site;ESP|crop_field;ESP|tower;FRA|crop_field;GBR|airport_terminal;GBR|golf_course;GBR|single-unit_residential;GLP|place_of_worship;GRC|office_building;GRC|surface_mine;GTM|educational_institution;HKG|recreational_facility;HTI|burial_site;HTI|debris_or_rubble;IND|swimming_pool;IRL|car_dealership;IRN|ground_transportation_station;IRQ|military_facility;IRQ|multi-unit_residential;JPN|airport_hangar;JPN|electric_substation;KEN|office_building;KOR|smokestack;KOR|stadium;LBN|hospital;LUX|educational_institution;LUX|shopping_mall;MTQ|crop_field;NLD|recreational_facility;NOR|fountain;NZL|waste_disposal;OMN|factory_or_powerplant;PHL|parking_lot_or_garage;POL|parking_lot_or_garage;PRT|burial_site;PRT|military_facility;PRT|race_track;PRY|golf_course;RUS|aquaculture;RUS|construction_site;SVN|park;TUR|golf_course;TUR|road_bridge;TUR|zoo;TWN|crop_field;TWN|zoo;TZA|surface_mine;UKR|archaeological_site;UKR|burial_site;UKR|electric_substation;USA|archaeological_site;USA|educational_institution;USA|fountain;ZAF|airport_hangar;ZAF|waste_disposal;ZMB|dam;ambiguous_country|gas_station;ambiguous_country|ground_transportation_station;ambiguous_country|park,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: AUS|archaeological_site, AUS|race_track, AUT|airport_terminal, AUT|barn, AZE|electric_substation, BEL|place_of_worship, BEL|recreational_facility, BEN|recreational_facility, BGR|fire_station, BHR|water_treatment_facility, BLR|park, BOL|airport_terminal, BRA|stadium, CAN|burial_site, CAN|crop_field, CHL|construction_site, DEU|helipad, DEU|office_building, DNK|smokestack, DOM|amusement_park, EGY|recreational_facility, ESP|burial_site, ESP|crop_field, ESP|tower, FRA|crop_field, GBR|airport_terminal, GBR|golf_course, GBR|single-unit_residential, GLP|place_of_worship, GRC|office_building, GRC|surface_mine, GTM|educational_institution, HKG|recreational_facility, HTI|burial_site, HTI|debris_or_rubble, IND|swimming_pool, IRL|car_dealership, IRN|ground_transportation_station, IRQ|military_facility, IRQ|multi-unit_residential, JPN|airport_hangar, JPN|electric_substation, KEN|office_building, KOR|smokestack, KOR|stadium, LBN|hospital, LUX|educational_institution, LUX|shopping_mall, MTQ|crop_field, NLD|recreational_facility, NOR|fountain, NZL|waste_disposal, OMN|factory_or_powerplant, PHL|parking_lot_or_garage, POL|parking_lot_or_garage, PRT|burial_site, PRT|military_facility, PRT|race_track, PRY|golf_course, RUS|aquaculture, RUS|construction_site, SVN|park, TUR|golf_course, TUR|road_bridge, TUR|zoo, TWN|crop_field, TWN|zoo, TZA|surface_mine, UKR|archaeological_site, UKR|burial_site, UKR|electric_substation, USA|archaeological_site, USA|educational_institution, USA|fountain, ZAF|airport_hangar, ZAF|waste_disposal, ZMB|dam, ambiguous_country|gas_station, ambiguous_country|ground_transportation_station, ambiguous_country|park.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
