axis,validity,protocol_hash,metric_version,loss_name,deployment_weighting,audit_measure,partition_rule,estimand_scope,dependence_design,excluded_groups,message,standardization_target,ci_low,ci_high,lower_confidence_bound,certification_radius,weighted_sum_radius,total_variation_radius,certification_radius_method,parameter_upper_bound,partial_bwer_lower,partial_bwer_upper,beta,mean_risk,tail_risk,bwer,worst_group_risk,worst_group_gap,deployment_effective_groups,tail_effective_groups,max_tail_atom_share,boundary_risk,boundary_tie_groups,deployment_weights,selected_mass,conditional_tail_weights,cluster_count,critical_value
country,not_identified_zero_selective_coverage,54d9a73c24aa44db1bbdf936d7544b035651dec04f70c60d24ce1ef4e8348f80,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,AZE;BEN;COG;ZMB,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: AZE, BEN, COG, ZMB.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
class_label,descriptive_only,54d9a73c24aa44db1bbdf936d7544b035651dec04f70c60d24ce1ef4e8348f80,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,airport_hangar;archaeological_site;car_dealership;construction_site;flooded_road;helipad;lake_or_pond;office_building;railway_bridge;shipyard;shopping_mall,Groups below the pre-registered support threshold were excluded; inspect valid deployment mass.,uniform,0.0,0.8196219407309697,0.0,0.5873160863918879,0.5873160863918879,1.0070445259972132,weighted_tail_plus_mean,0.9,,,0.1,0.7676941456609182,1.0,0.2323058543390818,1.0,0.2323058543390818,50.99999999999999,5.191616766467066,0.19607843137254902,1.0,"['barn', 'burial_site', 'electric_substation', 'factory_or_powerplant', 'fire_station', 'hospital', 'park', 'parking_lot_or_garage', 'police_station', 'prison', 'zoo']","{'barn': 0.0196078431372549, 'burial_site': 0.0196078431372549, 'electric_substation': 0.0196078431372549, 'factory_or_powerplant': 0.0196078431372549, 'fire_station': 0.0196078431372549, 'hospital': 0.0196078431372549, 'park': 0.0196078431372549, 'parking_lot_or_garage': 0.0196078431372549, 'police_station': 0.0196078431372549, 'prison': 0.0196078431372549, 'zoo': 0.0196078431372549, 'gas_station': 0.0196078431372549, 'military_facility': 0.0196078431372549, 'ground_transportation_station': 0.0196078431372549, 'recreational_facility': 0.0196078431372549, 'race_track': 0.0196078431372549, 'fountain': 0.0196078431372549, 'airport_terminal': 0.0196078431372549, 'crop_field': 0.0196078431372549, 'educational_institution': 0.0196078431372549, 'tower': 0.0196078431372549, 'smokestack': 0.0196078431372549, 'water_treatment_facility': 0.0196078431372549, 'waste_disposal': 0.0196078431372549, 'oil_or_gas_facility': 0.0196078431372549, 'solar_farm': 0.0196078431372549, 'interchange': 0.0196078431372549, 'place_of_worship': 0.0196078431372549, 'swimming_pool': 0.0196078431372549, 'toll_booth': 0.0196078431372549, 'border_checkpoint': 0.0196078431372549, 'golf_course': 0.0196078431372549, 'nuclear_powerplant': 0.0196078431372549, 'debris_or_rubble': 0.0196078431372549, 'storage_tank': 0.0196078431372549, 'wind_farm': 0.0196078431372549, 'dam': 0.0196078431372549, 'single-unit_residential': 0.0196078431372549, 'road_bridge': 0.0196078431372549, 'lighthouse': 0.0196078431372549, 'surface_mine': 0.0196078431372549, 'tunnel_opening': 0.0196078431372549, 'port': 0.0196078431372549, 'space_facility': 0.0196078431372549, 'stadium': 0.0196078431372549, 'amusement_park': 0.0196078431372549, 'multi-unit_residential': 0.0196078431372549, 'runway': 0.0196078431372549, 'aquaculture': 0.0196078431372549, 'airport': 0.0196078431372549, 'impoverished_settlement': 0.0196078431372549}","{'barn': 0.0196078431372549, 'burial_site': 0.0196078431372549, 'electric_substation': 0.0196078431372549, 'factory_or_powerplant': 0.0196078431372549, 'fire_station': 0.0196078431372549, 'hospital': 0.001960784313725497, 'park': 0.0, 'parking_lot_or_garage': 0.0, 'police_station': 0.0, 'prison': 0.0, 'zoo': 0.0, 'gas_station': 0.0, 'military_facility': 0.0, 'ground_transportation_station': 0.0, 'recreational_facility': 0.0, 'race_track': 0.0, 'fountain': 0.0, 'airport_terminal': 0.0, 'crop_field': 0.0, 'educational_institution': 0.0, 'tower': 0.0, 'smokestack': 0.0, 'water_treatment_facility': 0.0, 'waste_disposal': 0.0, 'oil_or_gas_facility': 0.0, 'solar_farm': 0.0, 'interchange': 0.0, 'place_of_worship': 0.0, 'swimming_pool': 0.0, 'toll_booth': 0.0, 'border_checkpoint': 0.0, 'golf_course': 0.0, 'nuclear_powerplant': 0.0, 'debris_or_rubble': 0.0, 'storage_tank': 0.0, 'wind_farm': 0.0, 'dam': 0.0, 'single-unit_residential': 0.0, 'road_bridge': 0.0, 'lighthouse': 0.0, 'surface_mine': 0.0, 'tunnel_opening': 0.0, 'port': 0.0, 'space_facility': 0.0, 'stadium': 0.0, 'amusement_park': 0.0, 'multi-unit_residential': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'airport': 0.0, 'impoverished_settlement': 0.0}","{'barn': 0.19607843137254902, 'burial_site': 0.19607843137254902, 'electric_substation': 0.19607843137254902, 'factory_or_powerplant': 0.19607843137254902, 'fire_station': 0.19607843137254902, 'hospital': 0.01960784313725497, 'park': 0.0, 'parking_lot_or_garage': 0.0, 'police_station': 0.0, 'prison': 0.0, 'zoo': 0.0, 'gas_station': 0.0, 'military_facility': 0.0, 'ground_transportation_station': 0.0, 'recreational_facility': 0.0, 'race_track': 0.0, 'fountain': 0.0, 'airport_terminal': 0.0, 'crop_field': 0.0, 'educational_institution': 0.0, 'tower': 0.0, 'smokestack': 0.0, 'water_treatment_facility': 0.0, 'waste_disposal': 0.0, 'oil_or_gas_facility': 0.0, 'solar_farm': 0.0, 'interchange': 0.0, 'place_of_worship': 0.0, 'swimming_pool': 0.0, 'toll_booth': 0.0, 'border_checkpoint': 0.0, 'golf_course': 0.0, 'nuclear_powerplant': 0.0, 'debris_or_rubble': 0.0, 'storage_tank': 0.0, 'wind_farm': 0.0, 'dam': 0.0, 'single-unit_residential': 0.0, 'road_bridge': 0.0, 'lighthouse': 0.0, 'surface_mine': 0.0, 'tunnel_opening': 0.0, 'port': 0.0, 'space_facility': 0.0, 'stadium': 0.0, 'amusement_park': 0.0, 'multi-unit_residential': 0.0, 'runway': 0.0, 'aquaculture': 0.0, 'airport': 0.0, 'impoverished_settlement': 0.0}",833,2.6528652459753346
country_class,not_identified_zero_selective_coverage,54d9a73c24aa44db1bbdf936d7544b035651dec04f70c60d24ce1ef4e8348f80,geobwer_fractional_1.1,risk,equal,balanced,one_axis_at_a_time,fixed_slice_universe,independent_clusters,ALB|educational_institution;ALB|parking_lot_or_garage;ARE|race_track;ARE|waste_disposal;ARG|educational_institution;ARG|factory_or_powerplant;ARG|ground_transportation_station;ARG|lighthouse;ARG|place_of_worship;AUS|archaeological_site;AUS|burial_site;AUS|hospital;AUS|race_track;AUS|single-unit_residential;AUS|toll_booth;AUS|tower;AUT|airport_terminal;AUT|archaeological_site;AUT|barn;AUT|crop_field;AUT|railway_bridge;AUT|recreational_facility;AUT|surface_mine;AZE|electric_substation;BEL|car_dealership;BEL|dam;BEL|parking_lot_or_garage;BEL|place_of_worship;BEL|police_station;BEL|recreational_facility;BEL|road_bridge;BEL|shopping_mall;BEN|recreational_facility;BGD|crop_field;BGD|hospital;BGD|prison;BGD|toll_booth;BGR|educational_institution;BGR|fire_station;BHR|swimming_pool;BHR|water_treatment_facility;BLR|barn;BLR|military_facility;BLR|park;BLR|surface_mine;BOL|airport_terminal;BOL|flooded_road;BOL|ground_transportation_station;BOL|parking_lot_or_garage;BOL|recreational_facility;BRA|aquaculture;BRA|crop_field;BRA|flooded_road;BRA|hospital;BRA|military_facility;BRA|office_building;BRA|police_station;BRA|single-unit_residential;BRA|stadium;BRA|storage_tank;CAN|amusement_park;CAN|burial_site;CAN|crop_field;CAN|gas_station;CAN|oil_or_gas_facility;CAN|smokestack;CHE|airport_terminal;CHE|military_facility;CHE|office_building;CHE|shopping_mall;CHE|smokestack;CHL|barn;CHL|construction_site;CHL|police_station;CHL|recreational_facility;CHL|single-unit_residential;CHN|archaeological_site;CHN|ground_transportation_station;CHN|recreational_facility;CHN|swimming_pool;CHN|toll_booth;CMR|parking_lot_or_garage;COG|airport_hangar;COL|car_dealership;COL|ground_transportation_station;COL|oil_or_gas_facility;COL|prison;COL|race_track;COL|recreational_facility;CRI|crop_field;CRI|fire_station;CRI|parking_lot_or_garage;CRI|toll_booth;CUB|airport_hangar;CUB|crop_field;CUB|lighthouse;CUB|place_of_worship;CUB|storage_tank;DEU|helipad;DEU|office_building;DEU|parking_lot_or_garage;DEU|recreational_facility;DNK|burial_site;DNK|helipad;DNK|smokestack;DOM|amusement_park;DOM|prison;DOM|swimming_pool;DZA|barn;DZA|dam;DZA|educational_institution;DZA|hospital;DZA|single-unit_residential;DZA|surface_mine;ECU|race_track;ECU|solar_farm;EGY|dam;EGY|factory_or_powerplant;EGY|recreational_facility;ESP|burial_site;ESP|crop_field;ESP|electric_substation;ESP|office_building;ESP|place_of_worship;ESP|tower;EST|multi-unit_residential;ETH|airport_terminal;ETH|ground_transportation_station;FIN|airport_hangar;FIN|park;FIN|road_bridge;FIN|zoo;FRA|crop_field;FRA|debris_or_rubble;FRA|educational_institution;FRA|factory_or_powerplant;FRA|fire_station;FRA|hospital;FRA|interchange;FRA|road_bridge;FRA|solar_farm;FRA|swimming_pool;FRA|tower;FRA|wind_farm;GBR|airport_hangar;GBR|airport_terminal;GBR|archaeological_site;GBR|burial_site;GBR|electric_substation;GBR|golf_course;GBR|shopping_mall;GBR|single-unit_residential;GEO|construction_site;GLP|airport_terminal;GLP|place_of_worship;GLP|recreational_facility;GRC|educational_institution;GRC|office_building;GRC|surface_mine;GTM|barn;GTM|crop_field;GTM|educational_institution;GTM|place_of_worship;HKG|military_facility;HKG|recreational_facility;HND|place_of_worship;HRV|archaeological_site;HRV|educational_institution;HRV|lighthouse;HRV|solar_farm;HTI|burial_site;HTI|debris_or_rubble;HUN|helipad;HUN|place_of_worship;HUN|water_treatment_facility;IDN|airport_terminal;IDN|archaeological_site;IND|airport_hangar;IND|airport_terminal;IND|archaeological_site;IND|electric_substation;IND|swimming_pool;IRL|airport_terminal;IRL|car_dealership;IRL|crop_field;IRL|fountain;IRL|railway_bridge;IRL|smokestack;IRN|educational_institution;IRN|ground_transportation_station;IRN|helipad;IRN|multi-unit_residential;IRN|place_of_worship;IRQ|archaeological_site;IRQ|impoverished_settlement;IRQ|military_facility;IRQ|multi-unit_residential;IRQ|road_bridge;ITA|barn;ITA|crop_field;ITA|factory_or_powerplant;ITA|fire_station;ITA|helipad;ITA|military_facility;ITA|race_track;ITA|storage_tank;ITA|tower;ITA|zoo;JAM|ground_transportation_station;JOR|military_facility;JPN|airport_hangar;JPN|archaeological_site;JPN|electric_substation;JPN|railway_bridge;JPN|storage_tank;JPN|waste_disposal;KAZ|construction_site;KAZ|oil_or_gas_facility;KEN|office_building;KEN|place_of_worship;KO-|surface_mine;KOR|archaeological_site;KOR|educational_institution;KOR|military_facility;KOR|smokestack;KOR|stadium;KWT|airport_terminal;KWT|gas_station;KWT|smokestack;LBN|fire_station;LBN|hospital;LBR|crop_field;LBY|place_of_worship;LBY|tower;LKA|parking_lot_or_garage;LTU|airport_hangar;LTU|archaeological_site;LTU|border_checkpoint;LTU|electric_substation;LTU|multi-unit_residential;LTU|parking_lot_or_garage;LTU|smokestack;LUX|educational_institution;LUX|gas_station;LUX|parking_lot_or_garage;LUX|shopping_mall;LVA|crop_field;LVA|ground_transportation_station;LVA|military_facility;LVA|parking_lot_or_garage;MAR|airport_terminal;MAR|gas_station;MEX|ground_transportation_station;MEX|place_of_worship;MEX|shopping_mall;MEX|water_treatment_facility;MEX|zoo;MLT|crop_field;MLT|ground_transportation_station;MLT|surface_mine;MNG|airport_terminal;MTQ|car_dealership;MTQ|crop_field;MYS|zoo;NLD|crop_field;NLD|electric_substation;NLD|factory_or_powerplant;NLD|parking_lot_or_garage;NLD|recreational_facility;NOR|car_dealership;NOR|fountain;NOR|shopping_mall;NZL|waste_disposal;OMN|factory_or_powerplant;OMN|water_treatment_facility;PAN|crop_field;PAN|ground_transportation_station;PER|crop_field;PER|recreational_facility;PER|storage_tank;PER|toll_booth;PHL|factory_or_powerplant;PHL|parking_lot_or_garage;PHL|waste_disposal;POL|educational_institution;POL|fire_station;POL|gas_station;POL|parking_lot_or_garage;POL|police_station;POL|recreational_facility;PRI|place_of_worship;PRK|aquaculture;PRK|educational_institution;PRK|single-unit_residential;PRK|stadium;PRT|burial_site;PRT|fire_station;PRT|military_facility;PRT|park;PRT|police_station;PRT|race_track;PRT|stadium;PRT|surface_mine;PRT|swimming_pool;PRY|golf_course;PRY|ground_transportation_station;PRY|recreational_facility;QAT|airport_terminal;QAT|surface_mine;ROU|educational_institution;ROU|ground_transportation_station;RUS|aquaculture;RUS|construction_site;RUS|debris_or_rubble;RUS|helipad;RUS|lighthouse;RUS|park;RUS|runway;RUS|solar_farm;RUS|water_treatment_facility;SAU|factory_or_powerplant;SAU|lighthouse;SAU|military_facility;SAU|prison;SDN|police_station;SEN|crop_field;SEN|waste_disposal;SGP|police_station;SLE|barn;SLE|lighthouse;SLV|fire_station;SLV|helipad;SLV|military_facility;SLV|recreational_facility;SRB|burial_site;SRB|surface_mine;SVK|ground_transportation_station;SVN|crop_field;SVN|park;SWE|factory_or_powerplant;SWE|recreational_facility;SYR|archaeological_site;SYR|factory_or_powerplant;SYR|hospital;SYR|place_of_worship;SYR|railway_bridge;SYR|swimming_pool;THA|crop_field;THA|electric_substation;THA|place_of_worship;THA|race_track;TUN|car_dealership;TUN|police_station;TUR|golf_course;TUR|hospital;TUR|road_bridge;TUR|water_treatment_facility;TUR|zoo;TWN|crop_field;TWN|storage_tank;TWN|waste_disposal;TWN|zoo;TZA|burial_site;TZA|runway;TZA|stadium;TZA|surface_mine;UGA|educational_institution;UGA|parking_lot_or_garage;UKR|archaeological_site;UKR|burial_site;UKR|electric_substation;UKR|storage_tank;UKR|zoo;URY|parking_lot_or_garage;URY|single-unit_residential;URY|tower;USA|archaeological_site;USA|dam;USA|educational_institution;USA|fountain;USA|lake_or_pond;USA|police_station;USA|road_bridge;USA|single-unit_residential;UZB|police_station;VEN|airport_hangar;VEN|recreational_facility;VNM|ground_transportation_station;VNM|toll_booth;ZAF|airport_hangar;ZAF|helipad;ZAF|police_station;ZAF|shopping_mall;ZAF|waste_disposal;ZMB|dam;ZMB|ground_transportation_station;ZMB|office_building;ZWE|water_treatment_facility;ambiguous_country|border_checkpoint;ambiguous_country|construction_site;ambiguous_country|gas_station;ambiguous_country|ground_transportation_station;ambiguous_country|oil_or_gas_facility;ambiguous_country|park;ambiguous_country|single-unit_residential,"Conditional selective risk is not identified because these pre-registered groups have zero accepted units: ALB|educational_institution, ALB|parking_lot_or_garage, ARE|race_track, ARE|waste_disposal, ARG|educational_institution, ARG|factory_or_powerplant, ARG|ground_transportation_station, ARG|lighthouse, ARG|place_of_worship, AUS|archaeological_site, AUS|burial_site, AUS|hospital, AUS|race_track, AUS|single-unit_residential, AUS|toll_booth, AUS|tower, AUT|airport_terminal, AUT|archaeological_site, AUT|barn, AUT|crop_field, AUT|railway_bridge, AUT|recreational_facility, AUT|surface_mine, AZE|electric_substation, BEL|car_dealership, BEL|dam, BEL|parking_lot_or_garage, BEL|place_of_worship, BEL|police_station, BEL|recreational_facility, BEL|road_bridge, BEL|shopping_mall, BEN|recreational_facility, BGD|crop_field, BGD|hospital, BGD|prison, BGD|toll_booth, BGR|educational_institution, BGR|fire_station, BHR|swimming_pool, BHR|water_treatment_facility, BLR|barn, BLR|military_facility, BLR|park, BLR|surface_mine, BOL|airport_terminal, BOL|flooded_road, BOL|ground_transportation_station, BOL|parking_lot_or_garage, BOL|recreational_facility, BRA|aquaculture, BRA|crop_field, BRA|flooded_road, BRA|hospital, BRA|military_facility, BRA|office_building, BRA|police_station, BRA|single-unit_residential, BRA|stadium, BRA|storage_tank, CAN|amusement_park, CAN|burial_site, CAN|crop_field, CAN|gas_station, CAN|oil_or_gas_facility, CAN|smokestack, CHE|airport_terminal, CHE|military_facility, CHE|office_building, CHE|shopping_mall, CHE|smokestack, CHL|barn, CHL|construction_site, CHL|police_station, CHL|recreational_facility, CHL|single-unit_residential, CHN|archaeological_site, CHN|ground_transportation_station, CHN|recreational_facility, CHN|swimming_pool, CHN|toll_booth, CMR|parking_lot_or_garage, COG|airport_hangar, COL|car_dealership, COL|ground_transportation_station, COL|oil_or_gas_facility, COL|prison, COL|race_track, COL|recreational_facility, CRI|crop_field, CRI|fire_station, CRI|parking_lot_or_garage, CRI|toll_booth, CUB|airport_hangar, CUB|crop_field, CUB|lighthouse, CUB|place_of_worship, CUB|storage_tank, DEU|helipad, DEU|office_building, DEU|parking_lot_or_garage, DEU|recreational_facility, DNK|burial_site, DNK|helipad, DNK|smokestack, DOM|amusement_park, DOM|prison, DOM|swimming_pool, DZA|barn, DZA|dam, DZA|educational_institution, DZA|hospital, DZA|single-unit_residential, DZA|surface_mine, ECU|race_track, ECU|solar_farm, EGY|dam, EGY|factory_or_powerplant, EGY|recreational_facility, ESP|burial_site, ESP|crop_field, ESP|electric_substation, ESP|office_building, ESP|place_of_worship, ESP|tower, EST|multi-unit_residential, ETH|airport_terminal, ETH|ground_transportation_station, FIN|airport_hangar, FIN|park, FIN|road_bridge, FIN|zoo, FRA|crop_field, FRA|debris_or_rubble, FRA|educational_institution, FRA|factory_or_powerplant, FRA|fire_station, FRA|hospital, FRA|interchange, FRA|road_bridge, FRA|solar_farm, FRA|swimming_pool, FRA|tower, FRA|wind_farm, GBR|airport_hangar, GBR|airport_terminal, GBR|archaeological_site, GBR|burial_site, GBR|electric_substation, GBR|golf_course, GBR|shopping_mall, GBR|single-unit_residential, GEO|construction_site, GLP|airport_terminal, GLP|place_of_worship, GLP|recreational_facility, GRC|educational_institution, GRC|office_building, GRC|surface_mine, GTM|barn, GTM|crop_field, GTM|educational_institution, GTM|place_of_worship, HKG|military_facility, HKG|recreational_facility, HND|place_of_worship, HRV|archaeological_site, HRV|educational_institution, HRV|lighthouse, HRV|solar_farm, HTI|burial_site, HTI|debris_or_rubble, HUN|helipad, HUN|place_of_worship, HUN|water_treatment_facility, IDN|airport_terminal, IDN|archaeological_site, IND|airport_hangar, IND|airport_terminal, IND|archaeological_site, IND|electric_substation, IND|swimming_pool, IRL|airport_terminal, IRL|car_dealership, IRL|crop_field, IRL|fountain, IRL|railway_bridge, IRL|smokestack, IRN|educational_institution, IRN|ground_transportation_station, IRN|helipad, IRN|multi-unit_residential, IRN|place_of_worship, IRQ|archaeological_site, IRQ|impoverished_settlement, IRQ|military_facility, IRQ|multi-unit_residential, IRQ|road_bridge, ITA|barn, ITA|crop_field, ITA|factory_or_powerplant, ITA|fire_station, ITA|helipad, ITA|military_facility, ITA|race_track, ITA|storage_tank, ITA|tower, ITA|zoo, JAM|ground_transportation_station, JOR|military_facility, JPN|airport_hangar, JPN|archaeological_site, JPN|electric_substation, JPN|railway_bridge, JPN|storage_tank, JPN|waste_disposal, KAZ|construction_site, KAZ|oil_or_gas_facility, KEN|office_building, KEN|place_of_worship, KO-|surface_mine, KOR|archaeological_site, KOR|educational_institution, KOR|military_facility, KOR|smokestack, KOR|stadium, KWT|airport_terminal, KWT|gas_station, KWT|smokestack, LBN|fire_station, LBN|hospital, LBR|crop_field, LBY|place_of_worship, LBY|tower, LKA|parking_lot_or_garage, LTU|airport_hangar, LTU|archaeological_site, LTU|border_checkpoint, LTU|electric_substation, LTU|multi-unit_residential, LTU|parking_lot_or_garage, LTU|smokestack, LUX|educational_institution, LUX|gas_station, LUX|parking_lot_or_garage, LUX|shopping_mall, LVA|crop_field, LVA|ground_transportation_station, LVA|military_facility, LVA|parking_lot_or_garage, MAR|airport_terminal, MAR|gas_station, MEX|ground_transportation_station, MEX|place_of_worship, MEX|shopping_mall, MEX|water_treatment_facility, MEX|zoo, MLT|crop_field, MLT|ground_transportation_station, MLT|surface_mine, MNG|airport_terminal, MTQ|car_dealership, MTQ|crop_field, MYS|zoo, NLD|crop_field, NLD|electric_substation, NLD|factory_or_powerplant, NLD|parking_lot_or_garage, NLD|recreational_facility, NOR|car_dealership, NOR|fountain, NOR|shopping_mall, NZL|waste_disposal, OMN|factory_or_powerplant, OMN|water_treatment_facility, PAN|crop_field, PAN|ground_transportation_station, PER|crop_field, PER|recreational_facility, PER|storage_tank, PER|toll_booth, PHL|factory_or_powerplant, PHL|parking_lot_or_garage, PHL|waste_disposal, POL|educational_institution, POL|fire_station, POL|gas_station, POL|parking_lot_or_garage, POL|police_station, POL|recreational_facility, PRI|place_of_worship, PRK|aquaculture, PRK|educational_institution, PRK|single-unit_residential, PRK|stadium, PRT|burial_site, PRT|fire_station, PRT|military_facility, PRT|park, PRT|police_station, PRT|race_track, PRT|stadium, PRT|surface_mine, PRT|swimming_pool, PRY|golf_course, PRY|ground_transportation_station, PRY|recreational_facility, QAT|airport_terminal, QAT|surface_mine, ROU|educational_institution, ROU|ground_transportation_station, RUS|aquaculture, RUS|construction_site, RUS|debris_or_rubble, RUS|helipad, RUS|lighthouse, RUS|park, RUS|runway, RUS|solar_farm, RUS|water_treatment_facility, SAU|factory_or_powerplant, SAU|lighthouse, SAU|military_facility, SAU|prison, SDN|police_station, SEN|crop_field, SEN|waste_disposal, SGP|police_station, SLE|barn, SLE|lighthouse, SLV|fire_station, SLV|helipad, SLV|military_facility, SLV|recreational_facility, SRB|burial_site, SRB|surface_mine, SVK|ground_transportation_station, SVN|crop_field, SVN|park, SWE|factory_or_powerplant, SWE|recreational_facility, SYR|archaeological_site, SYR|factory_or_powerplant, SYR|hospital, SYR|place_of_worship, SYR|railway_bridge, SYR|swimming_pool, THA|crop_field, THA|electric_substation, THA|place_of_worship, THA|race_track, TUN|car_dealership, TUN|police_station, TUR|golf_course, TUR|hospital, TUR|road_bridge, TUR|water_treatment_facility, TUR|zoo, TWN|crop_field, TWN|storage_tank, TWN|waste_disposal, TWN|zoo, TZA|burial_site, TZA|runway, TZA|stadium, TZA|surface_mine, UGA|educational_institution, UGA|parking_lot_or_garage, UKR|archaeological_site, UKR|burial_site, UKR|electric_substation, UKR|storage_tank, UKR|zoo, URY|parking_lot_or_garage, URY|single-unit_residential, URY|tower, USA|archaeological_site, USA|dam, USA|educational_institution, USA|fountain, USA|lake_or_pond, USA|police_station, USA|road_bridge, USA|single-unit_residential, UZB|police_station, VEN|airport_hangar, VEN|recreational_facility, VNM|ground_transportation_station, VNM|toll_booth, ZAF|airport_hangar, ZAF|helipad, ZAF|police_station, ZAF|shopping_mall, ZAF|waste_disposal, ZMB|dam, ZMB|ground_transportation_station, ZMB|office_building, ZWE|water_treatment_facility, ambiguous_country|border_checkpoint, ambiguous_country|construction_site, ambiguous_country|gas_station, ambiguous_country|ground_transportation_station, ambiguous_country|oil_or_gas_facility, ambiguous_country|park, ambiguous_country|single-unit_residential.",uniform,,,,,,,,,,,,,,,,,,,,,,,,,,
