axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
country,ABW,2,1,0.5,1.0,True
country,AFG,10,2,0.2,1.0,True
country,AIA,9,5,0.5555555555555556,1.0,True
country,ALB,6,1,0.16666666666666666,1.0,True
country,AND,11,4,0.36363636363636365,1.0,True
country,ANT,4,4,1.0,0.5,True
country,ARE,34,19,0.5588235294117647,0.9473684210526315,True
country,ARG,63,26,0.4126984126984127,0.8846153846153846,True
country,ATG,7,3,0.42857142857142855,1.0,True
country,AUS,38,16,0.42105263157894735,0.8125,True
country,AUT,12,3,0.25,1.0,True
country,AZE,1,0,0.0,,False
country,BEL,30,12,0.4,1.0,True
country,BEN,1,0,0.0,,False
country,BFA,11,7,0.6363636363636364,0.0,True
country,BGD,36,15,0.4166666666666667,0.2,True
country,BGR,3,1,0.3333333333333333,1.0,True
country,BHR,15,10,0.6666666666666666,0.1,True
country,BHS,38,25,0.6578947368421053,1.0,True
country,BIH,2,2,1.0,0.0,True
country,BLR,23,9,0.391304347826087,0.8888888888888888,True
country,BLZ,12,6,0.5,0.5,True
country,BOL,27,13,0.48148148148148145,0.38461538461538464,True
country,BRA,107,43,0.40186915887850466,0.7906976744186046,True
country,BRB,20,10,0.5,0.6,True
country,BRN,15,10,0.6666666666666666,0.5,True
country,BWA,6,6,1.0,0.3333333333333333,True
country,CA-,17,6,0.35294117647058826,0.6666666666666666,True
country,CAN,36,18,0.5,0.6111111111111112,True
country,CHE,31,17,0.5483870967741935,0.5882352941176471,True
country,CHL,20,11,0.55,0.8181818181818182,True
country,CHN,134,94,0.7014925373134329,0.5531914893617021,True
country,CIV,24,16,0.6666666666666666,0.875,True
country,CMR,26,14,0.5384615384615384,0.9285714285714286,True
country,COG,2,0,0.0,,False
country,COL,19,5,0.2631578947368421,0.8,True
country,CPV,19,10,0.5263157894736842,1.0,True
country,CRI,15,3,0.2,1.0,True
country,CUB,9,4,0.4444444444444444,1.0,True
country,CYP,23,10,0.43478260869565216,0.9,True
country,CZE,24,15,0.625,0.9333333333333333,True
country,DEU,75,36,0.48,0.8611111111111112,True
country,DJI,22,11,0.5,1.0,True
country,DNK,27,13,0.48148148148148145,0.9230769230769231,True
country,DOM,6,2,0.3333333333333333,1.0,True
country,DZA,41,23,0.5609756097560976,0.7391304347826086,True
country,ECU,44,32,0.7272727272727273,0.6875,True
country,EGY,47,22,0.46808510638297873,0.7272727272727273,True
country,ESP,95,43,0.45263157894736844,0.7674418604651163,True
country,EST,34,16,0.47058823529411764,0.875,True
country,ETH,61,24,0.39344262295081966,1.0,True
country,FIN,7,2,0.2857142857142857,1.0,True
country,FJI,13,6,0.46153846153846156,1.0,True
country,FLK,22,10,0.45454545454545453,0.4,True
country,FRA,97,45,0.4639175257731959,0.9111111111111111,True
country,GAB,9,6,0.6666666666666666,1.0,True
country,GBR,128,48,0.375,0.75,True
country,GEO,18,9,0.5,1.0,True
country,GHA,10,6,0.6,1.0,True
country,GIN,24,3,0.125,1.0,True
country,GLP,4,1,0.25,1.0,True
country,GNB,2,2,1.0,1.0,True
country,GRC,28,18,0.6428571428571429,0.8333333333333334,True
country,GTM,24,12,0.5,0.6666666666666666,True
country,GUF,10,3,0.3,1.0,True
country,HKG,9,5,0.5555555555555556,0.8,True
country,HND,44,23,0.5227272727272727,0.8260869565217391,True
country,HRV,19,12,0.631578947368421,1.0,True
country,HTI,3,1,0.3333333333333333,1.0,True
country,HUN,21,10,0.47619047619047616,0.7,True
country,IDN,48,30,0.625,0.5666666666666667,True
country,IND,122,65,0.5327868852459017,0.6615384615384615,True
country,IRL,15,7,0.4666666666666667,0.42857142857142855,True
country,IRN,14,8,0.5714285714285714,0.875,True
country,IRQ,41,16,0.3902439024390244,0.875,True
country,ISL,13,11,0.8461538461538461,1.0,True
country,ITA,76,31,0.40789473684210525,0.7419354838709677,True
country,JAM,2,1,0.5,1.0,True
country,JOR,16,8,0.5,0.875,True
country,JPN,59,35,0.5932203389830508,0.9142857142857143,True
country,KAZ,14,6,0.42857142857142855,1.0,True
country,KEN,19,12,0.631578947368421,0.8333333333333334,True
country,KGZ,16,5,0.3125,1.0,True
country,KHM,11,6,0.5454545454545454,0.16666666666666666,True
country,KO-,25,19,0.76,0.42105263157894735,True
country,KOR,40,24,0.6,0.4583333333333333,True
country,KWT,8,3,0.375,1.0,True
country,LAO,21,5,0.23809523809523808,1.0,True
country,LBN,4,1,0.25,1.0,True
country,LBR,22,10,0.45454545454545453,0.5,True
country,LBY,69,25,0.36231884057971014,0.56,True
country,LCA,8,2,0.25,1.0,True
country,LKA,15,5,0.3333333333333333,1.0,True
country,LSO,21,11,0.5238095238095238,1.0,True
country,LTU,26,8,0.3076923076923077,0.5,True
country,LUX,9,2,0.2222222222222222,0.5,True
country,LVA,37,20,0.5405405405405406,1.0,True
country,MAR,28,17,0.6071428571428571,0.5882352941176471,True
country,MDA,6,4,0.6666666666666666,1.0,True
country,MDG,2,2,1.0,1.0,True
country,MEX,14,6,0.42857142857142855,1.0,True
country,MKD,11,7,0.6363636363636364,1.0,True
country,MLI,1,1,1.0,1.0,True
country,MLT,18,5,0.2777777777777778,1.0,True
country,MMR,10,7,0.7,1.0,True
