axis,group,risk,support,cluster_support,selected_tail_mass,protocol_hash
country,LTU,0.7692307692307693,26,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,LVA,1.0,37,10,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,MAR,0.6071428571428571,28,15,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,MNG,0.96,25,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,MTQ,0.9545454545454546,22,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,NCL,0.5238095238095238,21,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,NGA,0.95,20,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,NLD,0.8913043478260869,92,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,NPL,1.0,50,8,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PAN,1.0,21,4,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PER,0.8823529411764706,34,13,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PHL,0.4426229508196721,61,16,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,POL,0.9032258064516129,31,10,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PRI,0.9545454545454546,44,8,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PRK,0.8285714285714286,35,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,PRT,0.9166666666666666,24,19,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,RUS,0.9,150,37,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SAU,0.868421052631579,38,17,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SLE,0.45454545454545453,22,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SOM,0.3076923076923077,26,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SVK,1.0,33,7,0.012195121951219513,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SVN,0.8571428571428571,35,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,SYR,0.7391304347826086,23,12,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,THA,0.8620689655172413,29,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,TUN,0.9411764705882353,34,8,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,TUR,0.7692307692307693,65,21,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,TWN,0.5483870967741935,31,11,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,TZA,0.7323943661971831,71,17,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,UKR,0.9436619718309859,71,25,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,URY,1.0,31,7,0.002439024390243922,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,USA,0.47191011235955055,89,45,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,UZB,0.8095238095238095,21,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,VNM,0.9285714285714286,28,8,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ZAF,0.9142857142857143,35,16,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ZWE,0.5357142857142857,28,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country,ambiguous_country,0.9016393442622951,61,28,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,airport,0.20833333333333334,48,24,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
class_label,airport_hangar,0.9,30,20,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
