property,error,passes
legacy_embedding,2.220446049250313e-16,True
beta_zero_limit,0.0,True
beta_one_endpoint,0.0,True
beta_profile_nonincreasing,1.1102230246251565e-16,True
measure_preserving_clone,0.0,True
tie_permutation,0.0,True
constant_risk_zero,5.551115123125783e-17,True
