scenario,method,true_bwer,mean_point,bias,coverage,positive_certificate_rate,mean_interval_width,repetitions
spatial_null,apparent_plugin,-1.1102230246251565e-16,0.013041397989375418,0.013041397989375529,,,,180
spatial_null,iid,-1.1102230246251565e-16,0.013041397989375418,0.013041397989375529,0.7666666666666667,0.23333333333333334,0.03717416810940581,180
spatial_null,position_cluster,-1.1102230246251565e-16,0.013041397989375418,0.013041397989375529,0.9611111111111111,0.03888888888888889,0.06437152049373207,180
spatial_null,spatial_superblock_6,-1.1102230246251565e-16,0.013041397989375418,0.013041397989375529,0.9722222222222222,0.027777777777777776,0.08831297983902006,180
spatial_moderate_tail,apparent_plugin,0.03599999999999992,0.03627874630775217,0.0002787463077522506,,,,180
spatial_moderate_tail,iid,0.03599999999999992,0.03627874630775217,0.0002787463077522506,1.0,1.0,0.0372668152786607,180
spatial_moderate_tail,position_cluster,0.03599999999999992,0.03627874630775217,0.0002787463077522506,1.0,0.8277777777777777,0.06422480856871092,180
spatial_moderate_tail,spatial_superblock_6,0.03599999999999992,0.03627874630775217,0.0002787463077522506,1.0,0.2111111111111111,0.08775544913424907,180
spatial_strong_tail,apparent_plugin,0.12599999999999983,0.12586550773399374,-0.0001344922660060921,,,,180
spatial_strong_tail,iid,0.12599999999999983,0.12586550773399374,-0.0001344922660060921,1.0,1.0,0.037274789311587106,180
spatial_strong_tail,position_cluster,0.12599999999999983,0.12586550773399374,-0.0001344922660060921,1.0,1.0,0.0646847691064223,180
spatial_strong_tail,spatial_superblock_6,0.12599999999999983,0.12586550773399374,-0.0001344922660060921,1.0,1.0,0.08796719698767147,180
